,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
21,B005DOK8NW,5,exact power adapter come standard amazon call 'kindle keyboard ' model kindle kindle touch least expensive model touch know plain 'kindle ' use kindle fire model use anywhere world v long proper plug adapter charge kindle need generic usb type micro b cable one supply every kindle purchase several different way laptop pc one 'powered ' usb port need laptop pc adapter come kindle purchase separately need amazon supply generic usb cable third party brand generic usb charger search amazon either 'kindle charger ' 'usb charger ' specific charger work th generation kindles also great charge lot gadget get charge usb port 'm use charge blackberry torch couple phone kid charge mp player reverse also true usb charger work kindle one good example blackberry 's amazon 's charger may cost couple dollar generic come amazon 's logo peace mind anyone go 'generic ' amazon adapter 's spec input ac v hzoutput dc v aprices fluctuate 'm go discus 'price ' 's always good idea search amazon alternative place order,"Generic USB charger, USB cable not included",1317168000,0,0.029411764705882353,0.0,0.0,0.11764705882352941,0.11764705882352941,0.47058823529411764,0.029411764705882353,0.0,0.0,0.11764705882352941,0.11764705882352941
285,B005DOK8NW,5,item work great kindle would advise anyone kindle purchasing kindle buy item easy plug charge use usb computer,NightlyReading Review,1319673600,1,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,
125,B005DOK8NW,5,get power adapter second generation kindle forgotten mine long trip adapter high quality slick design original one come kindle package amazon 's frustration free packaging snap open micro usb plug professional look unfortunately still n't cought device however able charge jabra blutooth headphone plan trip overseas may want know adapter works european voltage power setting well need get power outlet adapter,As good as you would expect,1319932800,1,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.18181818181818182
41,B005DOK8NW,4,think product great fact use plug kindle power cord well cord ipod year ago need adapter change usb product think pay around friend yay,Kindle US Power Adapter,1320451200,0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111
97,B005DOK8NW,5,'s essential charge kindle touch since via usb cable come touch pc convenient device come handy 're travel without pc although anyone even anymore would like charge touch room pc simple use appear well make plug adapter come usb cable,Convenient addition for the Touch,1322179200,2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,
315,B005DOK8NW,3,wishlist realize could use adaptor iphones yes apple adaptor cost already one n't need another one n't need buy one either,Don't need this if you have an iPhone,1322438400,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
337,B005DOK8NW,2,little plug end mean little attache usb end computer connection wire enable plug charge kindle without connection computer suppose amazon though would cool folk keep kindles plug active usb port recharge 's way kindle touch come 'm go guess plug worth less fifty cent yet sell almost ten buck amazon also saw actual mini usb port kindle realize blue tooth headphone charger could use instead wasted money n't waste,Convenient but not worth it,1322697600,1,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.13043478260869565,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
389,B005DOK8NW,5,edit unit charge everything include tablet computer take tablet hour reach full charge samsung charger come tablet seem job hour two however little unit work fine kindle cell phone like price like size 's understatement really like price really like size small enough cover one socket could stack along power strip problem charge everything 've plug include kindle tablet computer cell phone also feel like solid little charge unit n't test ruggedness yet,Nicely sized USB charger dongle at a good price,1322784000,2,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.0,0.0,
43,B005DOK8NW,5,great item work well kindle touch cover small compact travel well wherever wish take well worth money,Kindle US Power Adapter,1323302400,2,0.0,0.1,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.1,0.1
165,B005DOK8NW,5,ca n't imagine would n't want handy little doo dad take kindle everywhere battery run low want able find source charge wherever pop little puppy purse pocket kindle know bound,Love it!,1323302400,2,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111
49,B005DOK8NW,5,new generation kindles include usb cable power adapter user n't computer necessary accessory buy along kindle old relative love read computer,Nothing to add to what has already been said.,1323561600,1,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.2,
17,B005DOK8NW,1,kindle advertising compatible nook reader price 'm spend charger come standard nook simple reader n't even power kindle touch already dis satisfied customer many small print item kindle rip far,Rip Off,1323734400,1,0.0,0.0,0.0,0.0,0.0,0.75,0.125,0.0,0.0,0.125,
124,B005DOK8NW,5,happen like style well kind plug right back still could make power cord last good buy thing separate say rip offff,I read My Kindles in more than one place so it was a have 2,1324166400,1,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
383,B005DOK8NW,5,must order charge battery kindle use house current plus easy use carry might able use item need charge try,Tom,1324425600,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,
331,B005DOK8NW,5,work quite sure reviewer complain come cord clearly state get one kindle anyway get great little charger fast,nice,1325462400,2,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,
198,B005DOK8NW,5,like adapter lot work ipod device usb connector cord highly recommend,Works great!,1325894400,4,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,
20,B005DOK8NW,3,could go generic adapter new kindle decide get amazon brand product fuss ship arrived time packaging sufficient would rather spend little know return straight amazon need get generic version deal hassle another dealer complaint since adapter convenient charge kindle without laptop issue less six month post update,Convenience costs a little more,1325980800,3,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078
180,B005DOK8NW,4,appreciate fact n't include box kindle touch keep cost plus people usb device require power may something work already power supply ipad iphone ipod little white box plug wall end accepts usb cable use charge kindle use device accepts standard usb type connector 'm give four star still fact work amazon logo 's genuine accessory kindle provide peace mind lot people let 's face need accessory computer simply nice instead must become must kindle owner computer,"Works well, priced a little high",1326153600,2,0.0,0.0,0.0,0.3333333333333333,0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
136,B005DOK8NW,5,hey work easy install duh obviously connect kindle electricity n't include purchase kindle may difficulty somebody advertised kindle touch order brainer,Kindle Adapter,1326153600,2,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
364,B005DOK8NW,5,'s great able charge kindle even 's computer sight used ordinary electrical outlet make especially great travel love mine,Big convenience for very little coin,1326240000,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,
128,B005DOK8NW,4,easy use nice price nothing dislike carry bag like accessory,nice,1326585600,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,
183,B005DOK8NW,5,love new kindle adapter convenient plug outlet away computer great travel take kindle anywhere make purchase earlier price increase,Kindle Adapter,1327276800,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,
256,B005DOK8NW,5,adapter connects cord charge kindle fully within short amount time bad n't come kindle handy charge without use usb connection computer laptop,Work great!,1327276800,1,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
186,B005DOK8NW,4,buy think easy find available electrical outlet unused usb slot charge k touch n't quick n't often would prefer bundle option get charger touch gift ca n't complain seem take hour full charge experience pretty easy come time current use touch give week period use recharge,Easy to use,1327536000,2,0.0,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413
355,B005DOK8NW,5,kindle touch wi fi e ink display include special offer sponsor screensaversi 'm uncertain power adapter purchase separately necessary order charge kindle without use computer guess another way get money ship immediately upon order work fine,Power adapter,1327881600,2,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.09090909090909091,0.0,0.045454545454545456,0.09090909090909091,0.13636363636363635
159,B005DOK8NW,5,n't use yet purchase 'm fly take trip charge kindle necessary like delayed etc flight quite 'm airport hr work fine,Needed emergency item,1328054400,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
399,B005DOK8NW,3,kindle adapter neither option luxury essential unless want hang kindle tree limb use scare bird garden maybe order use kindle touch manner intend read force purchase adapter hopefully amazon think policy furnish adapter kindle purchase either make available model none although would great pr decision furnish,ESSENTIAL- Not An Option,1328313600,1,0.08333333333333333,0.125,0.0,0.125,0.08333333333333333,0.25,0.08333333333333333,0.0,0.041666666666666664,0.125,0.08333333333333333
258,B005DOK8NW,5,great little item computer would n't charge kindle ordered one work great shame amazon simply toss one box kindle,Nice little unit...,1328832000,1,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,
289,B005DOK8NW,5,'s say good price job either plug kindle computer wall socket recharge handy thanks,Does the job.,1329091200,0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
108,B005DOK8NW,4,use kindles world power problem failure one cord insulation flake almost immediately despite tickle pink kindle though much careful cord,Works with 220 volt for foriegn use,1330041600,1,0.1111111111111111,0.0,0.0,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111
313,B005DOK8NW,5,appreciate able plug kindle ac power supply instead usb port computer charge way read eat breakfast kitchen power kindle u power adapter include kindle kindle touch,Kindle US power adapter,1330041600,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
230,B005DOK8NW,4,kindle charge included charging cord computer n't computer available little plug adapts usb plug power cable regular house current charger hard part handy adapter keep track fairly small useful addition kindle include buy n't,A Handy Plug,1330128000,0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
219,B005DOK8NW,2,originally get one adapter kindle upon first purchase last two week 've come think 've lose need new one fifteen dollar really 'd rather stick inconvenience charge computer usb cord try hard find adapter,"Seriously, $15?",1330992000,0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
234,B005DOK8NW,5,buy mom one kindle christmas n't realize wall charger adapter piece n't come receive mail kindle keyboard come adapter assume mom n't technical rarely touch computer get adapter could charge kindle old fashion way work expect 'm really glad amazon make adapter available also good know ever lose mine wish kindle come first place,I'm Glad This Was Available,1332201600,1,0.05,0.05,0.0,0.1,0.15,0.2,0.05,0.05,0.05,0.1,0.2
357,B005DOK8NW,1,hmmmm review review well item work would get five star sorry product get one star first include purchase kindle secondly nothing special adapter rather adapter cell phone ipod electronic device piece plastic usb port one end outlet plug thirdly think people feel need buy probably one already home fourth price advice check adapter various electronic device new kindle first order necessary 'm pretty sure wo n't necessary hope save buck,Don't waste your money....try your cellphone adapter first,1332547200,0,0.03571428571428571,0.0,0.0,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.03571428571428571,0.0,0.0,0.21428571428571427,0.14285714285714285
318,B005DOK8NW,5,throw away kindle usb cord crack crumble accidentally throw away power adapter fault buy another one product work describe n't problem,My Mistake I Had To Buy A New One,1333584000,0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,
166,B005DOK8NW,5,use extra kindle cord extra wife buy kindles cord converter stay bedside table charge kindles overnight need also travel u n't think could without,Works well,1335312000,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
14,B005DOK8NW,3,receive kindle touch order sure whether keep kindle item arrive within time frame,Kindle Adapter,1336608000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,B005DOK8NW,5,originally get charger christmas present kindle find useful 's go usb charger device even buy two additional one use charge camera ipod touch 've try luck cheap 'generic ' charger short cause power fluctuation otherwise fail repeatedly guy though 're rock steady need wall plug usb charge adapter ca n't recommend highly enough,Never fails,1337558400,1,0.047619047619047616,0.047619047619047616,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.0,0.0,0.09523809523809523,0.09523809523809523
102,B005DOK8NW,5,'m old may way get ta adaptor plug wall outlet recharge kindle personally know well efficient way,"plug me in, power me up!",1337731200,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
145,B005DOK8NW,5,love power adaptor plug kindle anywhere n't recharge computer,Kindle power adapter,1338249600,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,
42,B005DOK8NW,5,cell phone power plug work kindle touch g decide wanted adapter usb cord come kindle 's right n't include adapter kindle,Perfect.,1338595200,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
376,B005DOK8NW,5,help much plug computer find easy use cost efficiant,Kindle US Power Adapter,1340928000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
307,B005DOK8NW,4,ordered item order kindle lovely wife find easy way charge new kindle item small compact adapter plug kindle ordinary volt wall outlet easy use charge kindle battery reasonable time normally last week depend use age habit adapter come kindle purchase need purchase separably,Power adapter for Kindle,1341446400,0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078
176,B005DOK8NW,5,lot reason connect new model kindle computer since book document easily add use wi fi g 's handy able charge kindle use wall plug computer plug use connect usb cord come kindle mean n't look like much package get job do purchase mine time buy kindle cut price half,No need for a computer,1342656000,0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2
182,B005DOK8NW,5,really come handy time recharge kindle certainly take space glad get,Adapter for USB cable,1344902400,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.4
353,B005DOK8NW,5,'s great power adapter kindle n't really need charge laptop convenience alternative charge option really nice sometimes n't want mess extra cord attach computer need take computer different area house easy without attach cord love convenience plug anywhere anytime,Handy! Handy! Handy!,1346889600,1,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.125,0.125,
