,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
777,B006GWO5WK,5,review update note buying thisamazon kindle powerfast accelerate chargingfor use new kindle fire hd model 've use continuously since september first announce price go since first purchase prevailing price yet n't regret purchase buy like read 'add kindle accessory ' section right side various new kindle model appropriate product page 'll see get kindle powerfast charger see product page time update please n't shoot messenger 'm purchaser like item include new kindle fire model case unit need advance current original kindle fire accelerate charging time need see good way buy note special offer product page state something effect get kindle powerfast accelerate charge half price list purchase new new device see link newkindle fire lcd display wi fi gb newkindle fire hd dolby audio dual band wi fi gb gb newkindle fire hd dolby audio dual band wi fi gb gb newkindle fire hd g lte wireless dolby audio dual band wi fi gb gbif look add kindle accessory box right link new kindle model list 'll see offer get one half price list wo n't need supplementary usb cable model come one packaged box like solid well make charger appear quality item long term use use kindle fire kindle model almost universal w amp adapter charge faster prior kindle power adapter ac power prong fold away convenient travel storagedislikes include new kindle fire modelsthis kindle powerfast charger step two others offer amazon include others 've buy one purchase faster charger original kindle fire 's able charge model three hour beat original kindle fire ac adapter come device hour maybe seem close charge time high output amp chargers n't do side side scientific comparison kindle powerfast charger 've post photo powerfast charger comparison others buy hope help actual size bit difficult figure product image include coin see size far try powerfast charger follow device kindle fire hd new december kindle fire st generation kindle touch kindle plantronics voyager pro bluetooth headset blackberry curve smartphonethe powerfast charger rat dc output v work kindles many device check manual ac input rat v hz please note 're travel outside u need plug adapter thisusa europe heavy duty adaptor plug shop around country specific summary thisamazon kindle powerfast accelerated chargingunit purchase full price charge first generation kindle fire note newkindle fire hd currently configure run number charge discharge cycle 've also run thebattery hd proapp full calibration routine seem help 'm easily beat hour full charge listed product spec powerfast charger available personal use kindle fire hd one work well highly recommended month use original post update,"&#9734; UPDATED: Simply put, it works quite well &#9734;",1347580800,3,0.2268041237113402,0.020618556701030927,0.0,0.07216494845360824,0.05154639175257732,0.3711340206185567,0.061855670103092786,0.020618556701030927,0.020618556701030927,0.041237113402061855,0.1134020618556701
468,B006GWO5WK,4,kindle fire great charger even stand alone great feature solidly build elegant super compact design look good would n't surprise win industrial design award charge kindle tablet faster anything 've try far folding prong make great take along trip operate outside u v long provide plug adapter work kindles either tablet dedicate reader anything charge usbon negative side like appreciate amazon 's include one kindle fire price fluctuate time write review amazon 's charger competitively price 'quality ' usb charger especially get half price deal order together new kindle fire must pay full price shop around read review charger go work well kindle fire amazon 's charger may cost generic come amazon 's logo peace mind specs power consumption winput ac v hzoutput dc v athis unit use new previous generation kindles work gadget get charge usb port long proper usb cable regular micro mini far test blackberry couple feature phone android tablet kid use mp player usb charger work kindles well may quick amazon brand device unless maker claim review confirm rat merit universal charger would five star since meant work fire hd 's included hd box deduct star see note note initial rating star star deducted high price charger include fire upgrading rating star amazon lower price first place brush teeth 's law lt lt,Fire essential,1347580800,3,0.1,0.02,0.0,0.14,0.06,0.31,0.07,0.04,0.01,0.12,0.13
604,B006GWO5WK,5,purchase go along new inch fire hd 'm count day arrive also work original fire find major benefit original fire well form factor unlike wart shape original fire charger much sleek folding plug make easy carry case simple clean design downside use original fire need provide cable charger fire charger include charge time slightly faster original fire use app battery hd measure charge time level new charger save minute go charge charge versus original charger faster huge gain expect differential term charge time new fire especially inch one much great compare charger use usb port charge 'll post result inch fire 's compelling purchase original fire worth get ordered new hd fire especially also get mp credit 'm give star since price pay 's handy spare charger 's much easy take along original fire charger,Slightly faster charger for the original Fire; much better form factor,1347580800,3,0.17567567567567569,0.02702702702702703,0.0,0.14864864864864866,0.02702702702702703,0.35135135135135137,0.05405405405405406,0.013513513513513514,0.013513513513513514,0.06756756756756757,0.12162162162162163
853,B006GWO5WK,5,preordered kindle fire hd also order one kindle powerfast accelerate charger ship immediately exactly hop charge heavily use original kindle fire substantially less time also charge kindle keyboard less time amazon promise time saving seem right although may actually little good standard kindle usb connector cord plug charger charger plug standard electrical outlet amazon say charger design use kindle fire kindle e reader n't test charger anything else also label charger wo n't forget 's intended kindles little square black boxy charger easy store carry along kindle fire much prefer earlier kindle fire charger consist power cord permanently attach wall wart edit amazon product description state charger charge e reader like kindle keyboard faster impression device definitely charge original fire less time still like fact use fast charger kindle device,"Compact Device Charges Original Fire, Kindle Keyboard in Less Time",1347667200,3,0.12,0.0,0.0,0.1,0.02,0.38,0.1,0.02,0.02,0.04,0.2
727,B006GWO5WK,5,attractive charger apple design style cool charge kindle pretty much usb device must kindle owner work v v great traveler sure pick one,Nice Looking Charger,1348012800,2,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
459,B006GWO5WK,5,say charger besides work n't work kindle fire hd charge fine use product,Good charger,1348099200,3,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,
461,B006GWO5WK,3,purchase product hop greatly decrease recharge time kindle fire however see much decrease maybe time 'll change mind 'm still use,Not much difference,1348185600,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
463,B006GWO5WK,5,power fast charger indeed fast use oppose use usb port computer shave full hour charge time plus n't waste electricity leave computer 'm use kindle charge cord sell sepearately indeed use kindle fire hd without computer highly recommend,It lives up to its name,1348617600,2,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
449,B006GWO5WK,5,purchase fire think short charge time would great never fail kindle th need charge fire ipad really interfere read n't think awkward space hog outlet charger toy impressed quickly charge fire complaint 's use old kindles like kindle th still use old cable use fire,Like it,1348617600,2,0.36363636363636365,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091
442,B006GWO5WK,5,great plug indeed work faster well worth investment get decent enough charge one hour carry reading,Quicker charge.,1348963200,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
