,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
200,B007R5YDYA,4,originally go buy cheap cover kindle paperwhite discover amazon brand cover kindle paperwhite would put device sleep wake open closing cover decide would splurge get official cover well opinion little steep ereader cover actually arrive admit nicely make really like fact cover open close wake put device sleep nook glowlight well turn nook press n swipe screen hold n second activate build light kindle paperwhite simply open cover swipe unlock screen much simpler would n't think nook would aggravate 's extra second button press activate light dark 're try read bed really annoy sometimes especially find n button swipe narrow horizontal area dark kindle paperwhite swipe anywhere screen unlock light come automatically kindle cover reason give star instead price would give full star,"A bit too expensive, but very nicely made",1349136000,9,0.0,0.034482758620689655,0.0,0.41379310344827586,0.0,0.20689655172413793,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.10344827586206896
307,B007R5YDYA,5,day ago post review paperwhite cover one complain stiffness spine bump cause magnet keep front cover fold flat back 's open receive two cover problem people kindle forum post positive thing cover decide try third time definitely charm saddle tan cover receive today fully flexible spine cover fold flat back magnet reach enough past back cover keep bump cover outward color rich feel leather good 've remove review point failing first two cover encounter problem early order try really pay,A perfect cover for a perfect e-reader,1349136000,9,0.07692307692307693,0.09615384615384616,0.0,0.2692307692307692,0.019230769230769232,0.17307692307692307,0.15384615384615385,0.09615384615384616,0.0,0.038461538461538464,0.07692307692307693
301,B007R5YDYA,5,get cover mail today say look great ordered royal purple one color bright image amazon still look nice course wish actually look like picture outside material feel nice touch resembles feel leather though 'm sure 's actually real leather kindle paperwhite yet see well fit case way inside case look assume great fit paperwhite 's make flimsy material bend stretch eventually hold kindle well begin look sturdy strong enough protect scratch side accidental drop floor wish case way hold front cover back bend n't think 's really bothersome since front cover pretty flexible anyways something extra would take away look feel cover also mention light wo n't add much extra weight paperwhite first hold expect much heavy happy light 'm excited get paperwhite try cover kindle far 'm happy look feel great,Great quality cover!,1349222400,7,0.09259259259259259,0.0,0.0,0.2222222222222222,0.07407407407407407,0.2037037037037037,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.09259259259259259,0.12962962962962962
376,B007R5YDYA,3,new kindle paperwhite fit case perfectly first thing think really leather n't feel like must 'm sure 'll see cover option soon 'm overwhelmed cover like cover kindle keyboard,Okay but the price is pretty steep for what you get.....,1349222400,7,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,
78,B007R5YDYA,5,love new case usually use belkin case figure would try expensive one time love edge cover totally cover close front portion case seem really strong help put purse n't want something mash hurt screen think leather feel plastic like like leather n't get belkin case feel like soft leather seem like hard plastic case maybe make hard plastic let people save money notice strong odor smell like leather case come package leave warehouse via ups say thank goodness come installation removal direction cause thing give kindle easily struggle get always leave mine case n't get something different could damage something take lot know pay special offer open case open book page like special offer n't pay extra open cover swipe open book make sense n't mean use case way intend cost extra really suck pay g already ca n't know know give star say say get black right color give try,Perfect fit!,1349222400,7,0.10891089108910891,0.04950495049504951,0.0,0.10891089108910891,0.039603960396039604,0.15841584158415842,0.18811881188118812,0.1485148514851485,0.019801980198019802,0.10891089108910891,0.06930693069306931
172,B007R5YDYA,5,cover sturdy well make fit kindle paperwhite like glove without add much bulk weight kindle embed tight rubberized grip run along side kindle except small area bottom charger fit unsightly tabs band kindle slip circumstance almost break fingernail try get kindle cover overall effect seamless kindle cover one look great,The Kindle and the Cover are one...,1349395200,6,0.045454545454545456,0.0,0.0,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456
226,B007R5YDYA,5,sleek slim leather cover magnificent job protect kindle paperwhite kindle paperwhite fit inside securely without cumbersome strap many cover magnetic sleep wake function make convenient put book pick start read nice grippy feel hand add bulk lightweight ultra slim fit nicely almost bag make easy take kindle everywhere nice,Sleek and Slim Leather Cover offers great protection and style,1349481600,4,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941
112,B007R5YDYA,5,exactly would expect base picture description leather case fit kindle snuggly bare bone cover extra thing like slot id zipper deal magnetic closure sort feel traditional book cover open say awkward hold fold front way around back fine still hold kindle one hand comfortably comfort serious issue hence read kindle instead traditional book inner grey fabric feel much like utility fabric sorry think good term 's soft feel good mushy kind thing 's also go harm screen open cover turn kindle allow skip step press power button never fear password protect baby still enter password wo n't allow people bypass main issue 've see dispute color really order persimmon come people debate whether red orange u color challenged persimmon fancy schmancy color neither big fan true orange hop orange color want something available order day kindle come cat owner predict think 's disco light dance floor settle hop orange ' enough 's also reddish truthfully go depend light probably preference want see orange ' want reddish 're go see 's really kind blend two hurry hide screen miss retract claw dance queen might wait case tune color preference say 'm sorry order 's fine simple sturdy case,Just what you'd expect,1349481600,4,0.07954545454545454,0.045454545454545456,0.0,0.17045454545454544,0.045454545454545456,0.23863636363636365,0.11363636363636363,0.045454545454545456,0.0,0.13636363636363635,0.125
68,B007R5YDYA,4,'ve own amazon offer kindle cover one main kindle cover touch like worked etc 's cover usually slightly overly expensive debate order paperwhite cover put pre order figure 'd check barely even read description honestly order persimmon color short lead time yeah know definite whatever order right paperwhite special offer turn read little cover paperwhite previous receive mine pop kindle cover open cover n't come automatically like expect present screen need swipe 's annoying pay extra special offer turn work like expect really awesome actually open brings right button push screen swipe require outside textured feel like good grip touch feel sturdy like color pretty well worried would bright orange 's nice color wo n't get lose sea black cover tech item lay around house auto open make well worth price opinion 'm extremely happy purchase recommend paperwhite owner course,Awesome cover -- if you don't use Special Offers,1349568000,3,0.014492753623188406,0.028985507246376812,0.0,0.2318840579710145,0.08695652173913043,0.2898550724637681,0.07246376811594203,0.043478260869565216,0.014492753623188406,0.10144927536231885,0.11594202898550725
73,B007R5YDYA,4,fit great 's cool able open swipe read w worry power button do close go,Nice case,1349568000,3,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
398,B007R5YDYA,4,look around good cover purchase cover make paperwhite amazon happy although bit pricy worth money protect paperwhite allow hold kindle reading know others offer feature like one tom,Amazon Paperwhite Cover,1349654400,3,0.0,0.045454545454545456,0.0,0.22727272727272727,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635
283,B007R5YDYA,5,nice lightweight cover go beyond previous version amazon brand e ink kindle cover do super compact lightweight hold paperwhite snug secure imagine make cover kindle fit recess pocket cover snug fit wo n't fear fall like kindle hinge wear time kindle dangle fall like kindle kindle keyboard type fabric wear use like kindle fire kindle dx really neat sensor paperwhite cover allow kindle know cover close automatically puts sleep mode conserve battery power upon open flap read paperwhite automatically wake 'll bet tried cock head angle put eye see kindle hit sleep mode wake close open cover use little week able withstand rigor back forth briefcase numerous session start stop read unfortunately drop side twice protect kindle like champ feel good hand compliment read experience new paperwhite outer cover basic leather feel good get variety style get regular black kindle reader different color want able recognize quickly across room mine v another family member ' kindle please note holder fit kindle paperwhite fit e ink kindle dimension different type review price cover black pretty good deal compare price cover model kindle would highly recommend one color choosing want protect investment two drop already one week show good protection investment november update 've use year still hold protect paperwhite despite numerous airport back forth man bag several drop onto concrete,"Great Quality and Styling, Protects Paperwhite Well from Drops",1349740800,2,0.047619047619047616,0.03571428571428571,0.0,0.2619047619047619,0.07142857142857142,0.17857142857142858,0.13095238095238096,0.047619047619047616,0.011904761904761904,0.08333333333333333,0.13095238095238096
26,B007R5YDYA,5,little cover wonderful slim protects without add bulk weight adore feature magnetic switch protects tablet purse seem good material attractive think worth cost cover junky hard please really like one,"Low bulk, terrific cover.",1350086400,1,0.037037037037037035,0.0,0.0,0.2222222222222222,0.1111111111111111,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.1111111111111111
87,B007R5YDYA,5,receive new kindle paperwhite amaze much small compact compare previous kindle k keyboard worried bit order cover since n't want add bunch weight back device fortunately amazon cover new kpw arrive four mailing day earlier projected amazing compact light far less bulky k k 's cover home run amazon thanks 's gorgeous functional light,Excellent cover,1350172800,2,0.047619047619047616,0.0,0.0,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523
290,B007R5YDYA,5,reluctant pay price cover happy splurge kindle paperwhite fit perfectly product add anymore weight protects kindle bottom allows charger plug problem get dirty easy clean damp paper towel cover turn ease read highly recommend,Cover did not disappoint,1350691200,2,0.08571428571428572,0.0,0.0,0.2,0.02857142857142857,0.2,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.11428571428571428,0.08571428571428572
123,B007R5YDYA,3,cover still wait pw ca n't tell read pw inside cover kt soft leather cover inside kt fit front flap cover fold back hold kt cover easily read pw cover front flap fold back hard probably weigh pw pw fit well instead slip look like would hard actually read pw inside cover comfortably although love purple color go return get another one cheap softer read experience comfortable edit update tell others cover would fold back behind kindle pw take try still hard soft comfy hold like leather one kt think keep least pw get try,"Cover is very hard, Not so comfortable read but attractive",1350691200,2,0.0,0.0,0.0,0.47368421052631576,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.0,0.0,0.05263157894736842,0.10526315789473684
339,B007R5YDYA,5,case perfect fit new pw kindle 'd definitely buy leather quality previous amazon kindle case light case kindle keyboard black one k leather right along line magnetic closure give problem pop open far gummy plastic frame right balance gummy rigid say kindle case n't come without real effort case worth ask peace mind know kindle protect sturdy easy hold beautiful case regard purple particular like well purple frame show kindle 'm read different enough black kindle interest bright enough distracting please,A good buy,1350950400,4,0.12962962962962962,0.018518518518518517,0.0,0.07407407407407407,0.018518518518518517,0.2037037037037037,0.2222222222222222,0.18518518518518517,0.0,0.07407407407407407,0.07407407407407407
106,B007R5YDYA,5,get cover paper white fit well n't interfere charge cord cover fold back way good protection without add lot size weight,Great cover,1351123200,4,0.05,0.0,0.0,0.25,0.1,0.15,0.05,0.05,0.05,0.15,0.15
158,B007R5YDYA,4,case definitely overprice consolation close cover put kindle paperwhite sleep reason order new cover paperwhite much like old cover strap bother always try find way obtrusive find color wonderful rich almost eggplant color problem feel leather person way complaint plastic part cover really anything else mold hold paperwhite securely know anything leather like stretch pick oil skin get soft pliable better mold plastic soft cover broken kindle fall cover think much fair price give star base overprice alone cheaper would give star maker cover read offer refund happy add star sayin ',"If the price were lower, it would have been 5 stars.",1351296000,6,0.06382978723404255,0.0425531914893617,0.0,0.2765957446808511,0.02127659574468085,0.19148936170212766,0.1276595744680851,0.0851063829787234,0.0,0.10638297872340426,0.0851063829787234
265,B007R5YDYA,5,order kindle pw ink blue cover time get cover first like navy way try since pw backordered end return reorder later added purple cover kindle arrive say amazon totally impressed fit design cover cover fit perfect leave gap kindle nice snug fit color gorgeous elegant purple dark also show purple beautifully time wake feature wonderful love overall elegant feel kindle pw price bit high would great value cheap 'm also glad amazon go pebbled leather look v kindle touch cover show every little scratch great job usual amazon,Perfect fit and design!,1351382400,4,0.0,0.0,0.0,0.2682926829268293,0.04878048780487805,0.24390243902439024,0.07317073170731707,0.07317073170731707,0.0,0.17073170731707318,0.12195121951219512
184,B007R5YDYA,5,first two e ink kindles kindle kindle buy official amazon cover serve well protect kindle look good well order kindle paperwhite n't even think go ahead order amazon paperwhite cover 'm glad 's make exclusively paperwhite fit like glove positive snap holder automatic magnetically activated sleep wake function cover great feature save time hold power switch extend battery life paperwhite well think well make accessory paperwhite,An essential accessory for the Kindle Paperwhite,1351382400,4,0.0,0.04,0.0,0.32,0.04,0.28,0.08,0.0,0.0,0.12,0.12
196,B007R5YDYA,5,somewhat hesitant come statement right case close go sleep good investment p paperwhite superb,Very nice well consyructrd Case,1351555200,7,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
267,B007R5YDYA,5,realize get new kindle decide paperwhite debate whether order official cover last time cover buy leather light cover keyboard reason kindle end go fritz despite hesitation go 'm extremely happy one help n't hooks line rather simple cover job protection usability 's slim n't add unnecessary weight device cover fold back way feel like 'm hold kindle push back easily unlike cover 've see past paperwhite front cover stiff need force back period time pliable device pop right admit n't try take color knew minute saw persimmon color 'm usually one orange shade enough pop get lose one giant bag thin line color around device 's open n't distract,Much better cover than the past ones I've had!,1351814400,8,0.1111111111111111,0.044444444444444446,0.0,0.2222222222222222,0.08888888888888889,0.13333333333333333,0.17777777777777778,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.08888888888888889
61,B007R5YDYA,3,cover make new kindle feel heavier orginal kindle w keyboard leave hand move cover way time need push button turn page current book reading hop case would durable light weight cover would actually fold back behind kindle way use look like sturdy enough protect screen oh well live learn,The Cover doesn't Fit Everyone,1351814400,8,0.08,0.0,0.0,0.2,0.08,0.24,0.12,0.12,0.04,0.04,0.08
127,B007R5YDYA,5,cover comfortable work great feel necessity heavy weight consideration addition kindle add weight insignificant feel good touch hold inside protective thin like magnetic function upon close wake upon open small thin kindle paperwhite disappear fit perfect highly recommend cover feel cost justifiable get greatshield glass protector also dark blue regret get unless issue picky like glad get negative review unjustified,Excellent Cover for Paperwhite Recommended,1351814400,8,0.057692307692307696,0.019230769230769232,0.0,0.17307692307692307,0.057692307692307696,0.17307692307692307,0.1346153846153846,0.15384615384615385,0.038461538461538464,0.09615384615384616,0.09615384615384616
174,B007R5YDYA,5,leather case one nicer case purchase kindle supple bulky one neat feature magnetic clasp open turn paperwhite also fold back read kindle like paperback case n't fight get close highly recommend case,A Very Nice Case for your Paperwhite,1351987200,7,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111,0.2777777777777778,0.2222222222222222,0.0,0.0,
46,B007R5YDYA,5,love almost everything cover first thing get spray shoe protectant occasion 'm go hold wash hand realistic take care 's month case still look brand new purple one 's gorgeous deep royal purple texture pattern leather nice create interest stitch around edge make even attractive magnet closure powerful enough keep cover close device jostle around inside handbag side front cover seem tad flimsy 's held far best thing cover kindle turn open turn close thought feature would big deal help simulate expected reading experience paperback book n't turn open cover kindle wonderful,Beautiful and convenient,1352073600,4,0.04878048780487805,0.024390243902439025,0.0,0.21951219512195122,0.04878048780487805,0.2682926829268293,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.17073170731707318,0.12195121951219512
115,B007R5YDYA,5,best product paperwhite 've see yet hold reader securely securely wonder ever able get reader stay close fairly good magnet love fact paperwhite wake ready read need press button wake know know lazy get anything protect nails manicure ok fit comfortably hand easy read whether fold cover way read like real book quite light really add significant weight real discernible thickness paperwhitethe leather luxurious color spectacular well dyed addition take lot abuse shoulder bag mixed rest stuff bag show wear tear even abuse get drop paperwhite cover harm come cover paperwhite,Perfect for Me,1352073600,4,0.07272727272727272,0.03636363636363636,0.0,0.23636363636363636,0.05454545454545454,0.23636363636363636,0.10909090909090909,0.05454545454545454,0.05454545454545454,0.07272727272727272,0.07272727272727272
71,B007R5YDYA,5,cover build light kindle keyboard kk happy also cover add weight kk would like case cover kindle paperwhite kp add little weight much 's great open cover kp wake right n't carry around lot know protect bump drop stuck purse take time protected kp fine kp sit snugly cover without fastener hook etc like feel lot like 'm hold book hold kp normally read top cover leave side open bent back 's behind kp 's quite comfortable hold like 's cover would recommend,Great little cover,1352073600,4,0.06818181818181818,0.0,0.0,0.29545454545454547,0.06818181818181818,0.1590909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.06818181818181818,0.11363636363636363
98,B007R5YDYA,5,sometimes dad use say get pay case price tad high cover paperwhite kindle perfect fit exactly look good open automatically start kindle allows easy access control make hold kindle easier comfortable close magnetic lock keep cover place color want back order order basic black still look good like life wish thing cheap p order another one like son,nothing I would improve except would like it to be cheaper,1352246400,3,0.037037037037037035,0.0,0.0,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.0,0.14814814814814814,0.18518518518518517
392,B007R5YDYA,4,craft holder ever make fit device perfectly although magnetic system middle kind magnet holder make top cover bit wide whole cover think could avoid somehow 's technical must 'd give star without hesitation,"A high quality product, but with trade-offs",1352332800,1,0.1,0.0,0.0,0.35,0.0,0.25,0.1,0.0,0.0,0.1,0.1
333,B007R5YDYA,5,looks good feel good work great read new kindle paperwhite do close cover put kindle sleep open wake kindle great amazon decide make kindle perfect compliment much easy slide switch wake kindle like kindles,Does what it says,1352332800,1,0.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.0,0.2,0.2
163,B007R5YDYA,5,love cover snug kindle fit instead sit like cover actually sit inside unit flush cover streamline snug still fold cover back read negative thought time,Fits PERFECT,1352332800,1,0.0,0.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182
76,B007R5YDYA,5,really love case kindle paperwhite fit super snuggly 's light cover flip back nicely 're read complaint color n't quite brilliant purple picture look 's muted royal purple brilliant royal purple still pretty,Beautiful!,1352851200,2,0.05,0.05,0.0,0.2,0.0,0.2,0.1,0.05,0.0,0.2,0.15
64,B007R5YDYA,5,love case 's well make hold device perfectly without strap like way completely enclose device also love fact simply open close case automatically turn unit would strongly suggest anyone buying paperwhite also pick case 'm glad,Works great.,1353110400,0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.047619047619047616
352,B007R5YDYA,5,cover protect kindle paperwhite absolutely look great magnetic closure ensure device stay protect time put kindle sleep mode open kindle awaken cover make nice leather material rough grainy texture add professional look kindle fit snugly fall accidentally highly recommend protect kindle paperwhite,Well made and professional looking,1353110400,0,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941
377,B007R5YDYA,5,receive kindle paperwhite seem tiny compare g keyboard model love snapped cover magnet front hold cover close also serve put kindle sleep wake look elegant lightweight easy carry,Elegant protection,1353888000,2,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.18181818181818182,
299,B007R5YDYA,5,really like cover much expect kindle paperwhite turn cover open turn close stay close magnet highly recommend,Great Cover,1354233600,2,0.0,0.0,0.0,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.1
383,B007R5YDYA,5,want get kindel read book free order one kindel wrapper well imagine surprise get 'm suppose kindel wrapper least come knidle inside still give product five star n't anything nice say bible say suppose say anything still know mean anyone amamzon com see please love cheese cracker send flip kindels,I thought it was going to be a kindal inside it but it is just a wrapper,1354320000,1,0.1,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.3,0.1
310,B007R5YDYA,4,like color love ability fold front completely back read make thicker easy page turn read recline think thesecovers tad pricey would hesitate recommend protection pw,I like it,1354492800,1,0.0,0.0,0.0,0.25,0.0,0.625,0.0,0.0,0.0,0.125,
