,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
191,B0093MU7QS,4,several general category joke collection give idea content 've list number joke per category bar bartender joke blonde joke technology joke spouse joke cynical joke lawyer joke yo momma joke joke old lame brilliant gem make collection worth read 'll find highbrow lowbrow humor probably wo n't like joke include 'd surprise n't laugh least also picture book cover ad 're interested skip right ad 's little like read magazine regard,Mixture of Highbrow and Lowbrow Humor,1349481600,0,0.044444444444444446,0.022222222222222223,0.0,0.13333333333333333,0.044444444444444446,0.24444444444444444,0.28888888888888886,0.022222222222222223,0.044444444444444446,0.13333333333333333,0.022222222222222223
84,B0093MU7QS,3,'s good free book sure 'd pay money though mean write humor might little biased however sample drunk stagger bar see nun stand bus stop walk punch face fall ground start scream 'you 're tough batman ' type humor get good joke,Good enough for a free book,1352592000,0,0.04878048780487805,0.07317073170731707,0.0,0.14634146341463414,0.14634146341463414,0.0975609756097561,0.17073170731707318,0.07317073170731707,0.024390243902439025,0.0975609756097561,0.12195121951219512
2,B0093MU7QS,2,joke small amount joke qualifyas book honest laugh therewere give smile think jokeswere recycle borscht belt 's since free ca n't complain john wilder marriage relationship sexual coach withhis self help book come january amazon kindle,cheesey old jokes,1353628800,0,0.06666666666666667,0.1,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333
81,B0093MU7QS,3,nutshell compilation zinger 've hear thousand time write well 're well look fail video yuks,It is what you think it is.,1355529600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,B0093MU7QS,4,good laugh book though half joke appropriate child many bash husband wife read humor intend,Jokes,1356393600,3,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0,0.0,0.23076923076923078,0.15384615384615385
43,B0093MU7QS,2,glad book free find joke funny matter fact stupid offensive,Glad This Was Free,1356480000,2,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
226,B0093MU7QS,2,ok book quite joke funny best joke book yo mama joke blond joke,Jokes,1356566400,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
44,B0093MU7QS,5,bouoght book read grand kid thing busy read yet,Book,1356652800,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
163,B0093MU7QS,3,funny lot old joke still entertain scan enjoyed haha,Lol,1357084800,5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
79,B0093MU7QS,3,think book pre teen child first page joke drunk expect,Not for kids,1357084800,5,0.0,0.0,0.0,0.125,0.125,0.25,0.125,0.0,0.0,0.125,0.25
208,B0093MU7QS,1,book funny maybe 's find boooooooooring funny n't even read end,not funny,1357084800,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
212,B0093MU7QS,1,book 's joke mostly fun dumb anything mixed female demean animal abuse dumb best describes,Worst Jokes Ever !!,1357171200,5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
227,B0093MU7QS,5,short collection joke hear ok think could joke,My. Review,1357257600,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
234,B0093MU7QS,1,boring joke n't like hear joke might try something else later,Boring,1357344000,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
24,B0093MU7QS,5,dis wuz one best joke book hav eva read shake myy head lmfao dis wuz funny stuff,Incredible,1357516800,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
