,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
267,B0095JX7F2,5,truly amazing love big girl woman take care 's hot erotic love need must read lady 'll love,Amazing!,1346630400,4,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693
246,B0095JX7F2,5,book great quick read could put wait storyline,addicting!,1346716800,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
41,B0095JX7F2,5,omg first love book big frame woman skinny minnie 's love worship hop start realize cant wait next one hot sex scene p,Wonderful!,1346976000,7,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.0,0.23529411764705882,0.058823529411764705,0.0,0.0,0.23529411764705882,0.23529411764705882
289,B0095JX7F2,4,great read hot steamy leave want read anna chase ca n't wait next book heard song sang today immediately think book,Big Girls Do It Better!!! Amen,1346976000,7,0.0,0.1,0.0,0.0,0.1,0.1,0.4,0.1,0.0,0.0,0.2
264,B0095JX7F2,5,get enough story actually felt insecurties hot guy want inner goddess fire end story give hope absolutely wait book,LOVE IT! LOVE IT! LOVE IT!,1347148800,7,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222
207,B0095JX7F2,5,quick fast pace short story woman big small relate love anna dj bar singer plus size beauty eye hot look rock star men lack confidence one could interest chase mr sexypants anna first describes singer rock band immediate attraction one another relationship quickly move anna relatable woman lack confidence body something even model perfect woman sometimes suffer learns feel attractive sexy chase sexual encounter together hot short read fill good plot do immediately ready download book two big girl wetter follow exciting couple,"Short, Sexy and Fun!",1347235200,6,0.0425531914893617,0.0425531914893617,0.0,0.1276595744680851,0.0425531914893617,0.2978723404255319,0.14893617021276595,0.0,0.0,0.1702127659574468,0.1276595744680851
39,B0095JX7F2,5,book well worth print mind blow sexual experience able take away add reality surreal utterly great experience sexual kuddos praise author book thank know create gratify sexual moment without make trashy something would definately recommend many friend well read nothing wrong size confident individual rest follow nice know guy like like fact rather self conscience begin quickly realize guy genuine feeling towards think due size thing want well guys sex wasnt true,intriguing,1347235200,6,0.022222222222222223,0.022222222222222223,0.0,0.24444444444444444,0.044444444444444446,0.3111111111111111,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.17777777777777778,0.044444444444444446
172,B0095JX7F2,4,ebook big girl betterauthor jasinda wilderfiction eroticthis review may contain spoilerssummary gorgeous rock star guy like chase delany n't go girl like go supermodels actress skinny girl never eat spend day work 'm girl lock fiery brown eye first time could n't quite believe really happen second night spend 'll never forget reviewloved little novella great read someone bit weight sort girl small hero 's hand span waist know mean girl sex hot want erotic fiction chase sound like dream like hero like loved way author portray main character book really look forward book ca n't wait see anna decides,A great story,1347235200,6,0.02,0.02,0.0,0.14,0.08,0.24,0.14,0.02,0.02,0.14,0.18
224,B0095JX7F2,4,let get straight n't much say plot yes girl wear size would definitely find interesting read every big girl right dream hunk fall bed time life 's wishful thinking believe big girl well,"Boost your ego ""big girl""! You deserve it!",1347321600,4,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.2857142857142857
37,B0095JX7F2,5,enjoy reading book big girl well big girl completly understood anna imposible hot guy like chase would something really enjoyed reading chase anna wish read love start finish,Loved It!!!,1347321600,4,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
166,B0095JX7F2,2,title big girl well expect self confident big girl happen anna 's immage make cringe seriouly drive crazy come already chase however awesome knock door anytime,Ugg!,1347408000,3,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.10526315789473684
