,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
354,B00BTIDOO6,4,honest least favourite law lycan series far n't n't like character cassie bryan great think problem past character play role elsie kane mel ryne account daniel love interest damien probable future love interest felt bit like cassie bryan share story deserve plus many character past book present lot small recap passage find somewhat annoy charles ' writing still easy read enjoyable 'm still like series lot particular book happen fall bottom preference list,good,1363737600,6,0.047619047619047616,0.07142857142857142,0.0,0.19047619047619047,0.023809523809523808,0.19047619047619047,0.11904761904761904,0.09523809523809523,0.047619047619047616,0.11904761904761904,0.09523809523809523
360,B00BTIDOO6,5,ok read nicky charles werewolf book day say werewolf fanatic m charles know wolf legend perfectly happen mention pro write decide write ontario phone book would read n't even live book series sort read order 's ok stand alone recommend start mat minimum though two book lead one get weekend summarize somewhat spoilery rich girl find 's werewolf one tell surprise rich girl flees vegas convince vicious monster meet nice guy serious gamble problem become poor poor evil villain search rich girl get money sell circus freak boo beta pack ontario claim 's finding search well naturally mat always work way right find hit cheap lamp run scream terror ow fall love evil villain 's henchman arrive screw everything mayhem ensure next thing know 're chicago first hot dry 's cold windy really mess pack previous evil villain appear scene serious conflict go inner wolf suck happen evil villain get rich girl everyone come rescue elevator break lot step breath trip gym need week evil villain win 'll read book 'll glad 's definitely worth price 's free would gladly spend lot kindle book love werewolf absolutely excuse join world nicky charles btw know author pay absolutely nothing rave book love rave,Be Afraid of the Biig Bad....Lawyer?,1363824000,7,0.125,0.1015625,0.0,0.0703125,0.0625,0.125,0.2265625,0.0625,0.078125,0.078125,0.0703125
267,B00BTIDOO6,5,love book much read three time since hero 's series love ryan nickey charles away draw make plot believable entertaining end simply could put discovered part series four book read well dissapointed book recommend lover paranormal romance mixed suspense secret bud relationship wonderful read,An excellent read,1363910400,5,0.05555555555555555,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.027777777777777776,0.0,0.19444444444444445,0.16666666666666666
230,B00BTIDOO6,5,love book way book write page short leave want,Great series,1363910400,5,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,
422,B00BTIDOO6,5,great werewolf book talented author 'm really genre one good one love werewolf author really captivate story character wonderfully warm fully develop 'm amaze skill bring story together everything flow connects make want keep reading complexity story woven well,Fantastic Werewolf Book!,1364083200,8,0.0,0.0,0.0,0.18518518518518517,0.14814814814814814,0.37037037037037035,0.037037037037037035,0.0,0.0,0.14814814814814814,0.1111111111111111
229,B00BTIDOO6,5,another great story series author way transport paranormal world world love series,Fantastic,1364169600,7,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,
213,B00BTIDOO6,5,would pay book excite fun 'm hop come,The series was great,1364256000,7,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078
195,B00BTIDOO6,5,series absolutely terrific author nicky charles wonderful way word find excellent addition law lycans series highly recommend anyone,terrific series,1364342400,8,0.0,0.0,0.0,0.47058823529411764,0.058823529411764705,0.29411764705882354,0.0,0.058823529411764705,0.0,0.11764705882352941,
190,B00BTIDOO6,5,dislike write word limit great book 'd rather let purchaser know loved author must read give nicky charles star write storytelling compel hard put 've read wo n't disappoint get book free others n't amazon get thumbs make u pay free book n't infringement copyright law unless amazon take money donate animal shelter nicky charles request steal money rightfully belong author make sure n't pay anyone nicky charles ' book free smashwords download,Compelling Read,1364342400,8,0.022222222222222223,0.1111111111111111,0.0,0.2222222222222222,0.044444444444444446,0.2,0.08888888888888889,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.1111111111111111
55,B00BTIDOO6,4,agree author tend little detailed find fast forward many time enjoy story well mat keep main couple realistic romance build natural pace also nice see many character book get glimpse happen story end,Better than the first two,1364515200,8,0.05263157894736842,0.0,0.0,0.15789473684210525,0.05263157894736842,0.3684210526315789,0.0,0.05263157894736842,0.0,0.10526315789473684,0.21052631578947367
