,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
389,B00BTIDXVU,5,want know mean read book read ms charles ' mating fell completely love ok mean write really n't know personally though 'm sure 's lovely woman get hooked love werewolf wolf shifter story read lot 'm quite discern normally would never pick book mat title breed matter read synopsis grab read one day bam new author high chart wait 's fact book series book sequel another hour read quite shock find even good first mel ryne laugh riot serious humor go even melodrama surround also really liked anthony greyson ok 's sort spoiler figure bryan daniel back kane elise helen heavy drama love book since find book start tonight right dallas 's melodrama probably bleary eyed work tomorrow spending lot time men 's room kindle phone,"Blink Twice for Yes, Three Times for No",1363564800,5,0.034482758620689655,0.08620689655172414,0.0,0.1206896551724138,0.06896551724137931,0.1896551724137931,0.1724137931034483,0.08620689655172414,0.0,0.10344827586206896,0.13793103448275862
384,B00BTIDXVU,4,charles pen another zinger keep sequel mat one follow zane 's brother ryne attempt form pack wild least small town canada battle dangerous attraction melody greene inadvertently threaten everything hold dear enjoyed ryne 's internal power struggle inner wolf know sentence little redundant know mean wolf part human wolf combination make werewolf seem distinct influence people book first course dominant arrogant dead sexy would hard complain little trouble imagine photographer n't strike artistic type melody spirit show enough back bone make like enough become bitch pun intend virolent repartee amusing could n't help root couple liked twist mr greyson likeable bad guy small reveal concern secretary end subtle well place send shiver spine n't think 've see last yet really enjoy keep work bond write nicky charles quickly become one new favourite never hurt law lycan book free smashwords highly recommend pick,like it,1363737600,6,0.11688311688311688,0.15584415584415584,0.0,0.07792207792207792,0.012987012987012988,0.14285714285714285,0.24675324675324675,0.09090909090909091,0.05194805194805195,0.025974025974025976,0.07792207792207792
292,B00BTIDXVU,5,love book much read three time since sweet romance young man willing search young woman try vain cover really start heart warm two discover reveal 's secret come grip villain want destroy way life nickey charles way draw make plot believable entertaining end simply could put discovered part series four book read well dissapointed book recommend lover paranormal romance mixed suspense bud relationship wonderful read,A delightful story I enjoyed.,1363910400,8,0.07692307692307693,0.0,0.0,0.17307692307692307,0.1346153846153846,0.19230769230769232,0.019230769230769232,0.038461538461538464,0.0,0.17307692307692307,0.19230769230769232
58,B00BTIDXVU,3,werewolf meet feisty woman fall love act bipolar usual paranormal romance couple take much time fight get bit annoy favorite romance entertain,Solid werewolf story,1363996800,7,0.09375,0.0625,0.0,0.125,0.0625,0.1875,0.09375,0.09375,0.03125,0.15625,0.09375
0,B00BTIDXVU,4,bad first book still favorite book set several twist turn storyline know come back future book good read thing work ryne open next book set final chapter one kind know expect think marla go happy reading,Good book,1364083200,8,0.04,0.04,0.0,0.2,0.08,0.24,0.04,0.04,0.04,0.16,0.12
254,B00BTIDXVU,5,nicky charles ca n't wait read next installment read order stand alone,A must read,1364083200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
241,B00BTIDXVU,4,one good first cuz one funny course book excite romantic like first two laugh loud moment never ca n't wait read next one,Why are the sequels free?!?! I love these books!,1364169600,7,0.05,0.05,0.0,0.1,0.15,0.2,0.05,0.0,0.0,0.2,0.2
446,B00BTIDXVU,5,another good one good author lot werewolf lore always sexy bit romance male werewolf chase girl werewolf ca n't go wrong,A+ For A Great Werewolf Book,1364256000,8,0.047619047619047616,0.0,0.0,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,0.14285714285714285
265,B00BTIDXVU,4,love rayne mel whole story interaction twist turn keep story flow like get view book 'm look forward next one,Great book,1364428800,11,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,
328,B00BTIDXVU,5,really enjoyed reading series character plot twist keep get well well kindle version book space issue word use right broken antler space miss six time throughout book word prior break antler attach word 's big deal thought would point reader aware issue read final story find since read bond betray prior read mat keep,Great series!,1364428800,11,0.038461538461538464,0.07692307692307693,0.0,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.11538461538461539
