,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
207,B00EPZUSYY,5,'m go start say wow wow wow think synopsis give angst idea book put people idea ride day le book book comfort zone yet addict could n't put matter hard emotion like junkie addict uncontrollable feeling cruise body broken 'm lose 'm drift away cathy heroine well put ant heroine break heart wrench story woman find grasping day day life long understands marriage hold thin delicate thread eleven year man six year marry cathy 's troubled existence longer see 's man fall love deeply year ago see self pity brokeness feel withdraw love marriage nothing stop yeah see go 's painful somewhat outside observer cathy ben 's love story get see glory day first moment meet mia effortlessly wove 's present past feeding u reader love hope two kid n't fall love walked smack fell flat as beautiful refresh see ben cathy sweet young innocent lover ca n't well could n't help fall love ben man would anything cathy would give soul every relationship take two make work problem know take lot love make marriage work maybe story would different true cathy 's word reader find repeat word cathy could see beyond broken thought cathy could see choice make would disastrous listen voice reason n't break temptation would entice temptation cathy come name arsen people say play fire 'll get burn well come arsen want get burn want incinerate many thing go story cathy 's head heart life make 's easy free fall oblivious bliss much bliss cringe see train wreck head way want scratch nail something stop inevitable scream cathy ben arsen think say want shake scream act differently character beautifully break love story complex scratch surface really want get glimpse ben think arsen totality realness n't get later book think know go head really n't break love two u time perfection strength virtue sometimes fall ben cathy could really see rawly see wall thing could different ben well big fan husband lady would love care alpha male side lady melt handsome successful 's whole package really ca n't come enough word tell much ben love call benny boy melt heart raw fierce heart wrench love embed soul sigh ben guy feel something love feel doubt wont care never mind heart guy story touch way another something wrong feel right find ask question cathy ahhhh see arsen something meet like bat n't truly like arsen easy see attraction towards arsern young carefree sexy hell funny cocky guy qualm say 's thinking want 's straight forward guy first say arsen ' type hate love one complex character intrigue annoy sometimes character really n't grasp entirety much love ben n't hate arsen n't understand condone behaviour think figure 'll slap truth clue guy lady gents great write awesome character development mia genus plot character write cathy dear cathy well big chasm 'll hate yet 'll feel pain anguish 'll want reach soothe sorrow friend guide everything mia make matter wrong thing cathy matter much want hate difficult sympathetic towards want happy end hard book read maybe n't believe thing happen story moral wise 'm usually fan love triangle book drag gutter imaginable high hope want must applaud mia asher brilliantly hard story love mistake flaw broken character raw story character real almost tangible feel taste ache book one matter hard read seeps body travel trough vein infiltrates nerve occupies mind soul hard book read even hard stop think finish something come mind book well careful wish ' every action consequence ' love someone let go person meant 'll find way back you'this book matter worthy message arsen brilliantly well write arsen far best read book heart wrench arsen star,5 Heart Wrenching Stars!,1377216000,56,0.0830860534124629,0.06528189910979229,0.0,0.09792284866468842,0.06231454005934718,0.20771513353115728,0.13649851632047477,0.09198813056379822,0.04747774480712166,0.12462908011869436,0.0830860534124629
145,B00EPZUSYY,5,start review say go blind yes 's right n't read blurb start idea book much would test know blurb quote main character cathy give away fact cheat 's love two men tear know people say wo n't n't want read cheat aspect believe realise story go apprehensive continue however write suck could n't put n't know feel cathy main character first meet already emotionally detach withdraw ben wonderfully perfect husband series life event take toll relationship want hate way treat ben story flit past get read relationship start everything perfect two year start go downhill get see cathy ben fell love also fell love ben ben perfect man 's kind 's considerate 's attentive 's loving hot would anything cathy debate continue read realise go happen heart break betray cathy ask pick new bos family airport subsequently meet arsen start think uh oh ' knew book call arsen knew husband n't call arsen knew write wall really n't want like arsen make feeling towards cathy obvious start appear typical rich kid get want n't use hearing word discover cathy married promise back friends seem work work alongside bit harmless ' flirt go devastation event cathy 's life rip last piece heart leave numb instead turn ben push away arsen one turn help take numbness away therapy may save cathy 's destroying marriage destroy ben hat relentlessly pursue marry woman n't end book arsen redeem eye even 'm think read ' like train wreck happen slow motion know go happen ca n't take eye away ca n't believe mia asher 's first book emotion event describe book edge feeling sick heart break sex scene holy hotness sex scene glass steam left needing cold shower give book gut wrench stomach churn heart break angst fill kindle throwing star,Speechless!,1377216000,56,0.05291005291005291,0.0582010582010582,0.0,0.13227513227513227,0.07407407407407407,0.1693121693121693,0.13227513227513227,0.07407407407407407,0.0582010582010582,0.10582010582010581,0.14285714285714285
146,B00EPZUSYY,5,real life contaminate fairy tale romance ugliness love question think valid story broken read story mia asher break break way able capture real emotion debut novel everything hop still shock first way write power write spot still shock manage cruel reality way always catch matter fast far run reality way destroy one 's hope dream reality n't caress cheek letting know 's come reality slap across face harshly remind dream dream book huge reality slap literally find close kindle tear say oh god ca n't book show true ups down life vision life tend gloss secret keep book one push reader leave speechless know whether want hug mia cuss write ability book everyone absolutely n't easy book book make sure feel every single emotion end truest love story experience long time fall love wrong person easy fall love right person easy fall love soul mate easiest 's meant feel like statement symbolic way 's happen cathy fell love two men one wrong misplace love one right easy know soul connect love hate cathy mean much want hate could cathy hate curse infertility badge many woman wear emptiness leaf wonder ben even want approve cheating marriage understand cathy ben make color seem bright walk room make heart feel want chest everytime see think make world spin ben beautiful love perfect ben ben easy love easy attach amaze ca n't help fall n't know anyone wo n't love man unfortunately also hurt come cathy n't understand help 'm sure thing life matter death always catch 've get work hard pay life party harder enjoy life love hard live life cathy 's reaction miscarriage dead come someone live infertility literally sit shoe however instead bathroom floor lay hospital bed scream god chose torture soul wonder deserve torture say cathy 's word husband read come cathy 's mouth know arsen 's one way ticket life know moment go shut ben go walk away easy way put band aid wound call arsen kryptonite 's funny name remind fire certainly look like someone could burn ground one look feel body burn scarlet people say play fire get burn well come arsen want get burn want incinerate 's chance unguarded content wildly incredibly fiercely happy love arsen break cathy honest man maybe hot thing paper honestly want jump bed think tomorrow arsen cathy together explosive point want feel hot forget moment wrong find question stand think would never question love destroy love erase love heal love reinvent lucky enough love make whole 's cathy do mother hell 's mia asher love cathy nope hate cathy love arsen nope hate ben hate nope love see mess emotion idea go heart thing sure love mia asher ability manipulate emotion hear sound heartbreaking seize beat feel excruciate pain eat alive slowly tear apart limb limb brilliant move breathtaking must read promise disappointed maybe raw fetal position love oh mia want another book please,Real Raw Perfection,1377216000,56,0.09144542772861357,0.07964601769911504,0.0,0.0943952802359882,0.058997050147492625,0.19174041297935104,0.13569321533923304,0.0943952802359882,0.05604719764011799,0.13274336283185842,0.06489675516224189
96,B00EPZUSYY,5,book emotional rollercoaster 've happy mad sad disgust sometimes could n't make mind wanted end 'm finish 'm still sure feel life cross path must another book please,Arsen,1377216000,56,0.16666666666666666,0.16666666666666666,0.0,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555
91,B00EPZUSYY,5,read one sit grandma love story n't love story 's real 's devastating 's heartbreaking exceptional love n't want wanted hate could n't consume ca n't stop thinking wo n't stop think book own right cry yelled freak freak loved ben love arsen love cathy love book every fiber n't want end could n't believe go could n't believe love book much show amaze write mia asher must buy must read,5 million soul grabbing heart breaking exceptional stars,1377216000,56,0.06451612903225806,0.06451612903225806,0.0,0.0967741935483871,0.03225806451612903,0.25806451612903225,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.22580645161290322,
82,B00EPZUSYY,5,say book break split heart piece rarely happen 'm sure begin ben husband u want one u want dream cathy 's damage whatever make feel good n't dislike like man really n't know want late 'm go spoil end say 's must read 'm big fan cheat real life time something happen cried needed make decision marriage hard work cheat necessarily give happy end say grass n't always greener side must read ca n't believe debut novel read,A job well.done!,1377216000,56,0.0,0.10810810810810811,0.0,0.10810810810810811,0.05405405405405406,0.10810810810810811,0.1891891891891892,0.05405405405405406,0.13513513513513514,0.08108108108108109,0.16216216216216217
73,B00EPZUSYY,5,hard explain book put steamy hot emotional ugly cry book hangover day opportunity read book prior release day book easy read rose rainbows real gritty wow,Marriage is HARD,1377216000,56,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
89,B00EPZUSYY,5,wow ride clutch heart afraid lose afraid stomp chew happen anyway great story real wow,I am broken.,1377216000,56,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
227,B00EPZUSYY,5,arsen break love story break love broken marriage book 's message come across clear marriage require work n't take love get grant n't take husband grant n't take marriage grant work communicate try second chance everyone hope enjoy book mia nail message emotion lighten bit joke read arouse allure fell love dean read arsen ah man wish could sandwich two though 'm sure 'd go mad hate share best book husband ever sorry christian sorry jesse ben darn cute love patted pussy pussy pussy lol wish marry sigh read scream cry smile,Definitely Team Ben &lt;3,1377216000,56,0.053763440860215055,0.043010752688172046,0.0,0.12903225806451613,0.08602150537634409,0.21505376344086022,0.07526881720430108,0.053763440860215055,0.03225806451612903,0.1827956989247312,0.12903225806451613
57,B00EPZUSYY,5,fabulous debut novel mia asher highly recommend book hot painful angsty honest mention hot ben amaze arsen sex stick marriage hard experience pull close together tear apart cathy hurt need someone let pain help forget n't always make good choice make mistake consequence cost happiness book unpredictable thought knew go happen mia keep guess completely suck start could stop turn page wake finish thank mia amaze story star,fabulous debut,1377216000,56,0.06896551724137931,0.08620689655172414,0.0,0.10344827586206896,0.08620689655172414,0.1724137931034483,0.1206896551724138,0.08620689655172414,0.034482758620689655,0.10344827586206896,0.13793103448275862
