,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
36,B00EYMXM2I,5,funny almost wet pant author hot sex good plot completely hilarious time love 'm eager,Hysterical!,1378166400,7,0.0,0.041666666666666664,0.0,0.16666666666666666,0.125,0.2916666666666667,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666
80,B00EYMXM2I,5,book quit smoke lead sudden death foul mouth angel terminator like faery prada girl could want mention dangerous possibly rogue vampyer beyond sexy get ready sexy funny romp paranormal word belong astrid get bargain want well health love book laugh loud funny,Amazeballs!!!,1378252800,7,0.08333333333333333,0.05555555555555555,0.0,0.08333333333333333,0.1388888888888889,0.19444444444444445,0.1388888888888889,0.027777777777777776,0.08333333333333333,0.1111111111111111,0.08333333333333333
327,B00EYMXM2I,4,prepare able read another one robyn 's book mean tissue wipe away tear laughter bathroom close laughter make almost wet pant witness hysteria check 'm ready go great funny book love description character everything weave together 'll leave read n't spoil surprise eagerly wait next book series hop robyn,Fangtastic!,1378339200,7,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.17857142857142858
148,B00EYMXM2I,5,drawn book cover least say 'come see store ' get ta admit seriously glad take notice read blurb bump straight top tbr pretty much love book snarky one liners banter really make laugh one character fell short seem purpose throughout book love good guy hat bad guy lot character throughout book point find hard keep track introduced way quickly become integral part story certainly n't feel like throw away character part play overall story well story lot go never felt lose backtrack figure much busy book do straight forward way easy follow write never felt rushed much go book really n't detract quality story write though pretty excellent n't think could say anything negative book enjoy far much thing would say 're look book thats gon na tear heart stomp whilst ugly cry rock corner maybe n't book 're look fun laugh loud funny read showcase lot 'typical ' vampyre right alley paranormal fan everywhere rejoice eclectic mix totally work n't think paranormal really cup tea book may well change mind everyone need funny life point book delivers big way 'm wonder maybe early start stalk author harp much need second right first time 've read anything author certainly wo n't last may love,Loved it :),1378425600,5,0.04878048780487805,0.036585365853658534,0.0,0.12195121951219512,0.06097560975609756,0.23170731707317074,0.0975609756097561,0.06097560975609756,0.036585365853658534,0.15853658536585366,0.14634146341463414
224,B00EYMXM2I,5,marie 's tempting read review another great book fun talented author robyn peterman read first release ask would like review fashionably dead knew reread refresh brain forget entertaining book take vampyres new exciting place make unique certain quality would expect normal vampire adore combination quirky outrageous character oprah look like guardian angel strangely name pam oprah fairy couch look like like mr arnold schwarzenegger cute little vampire name paris hilton another vampire one absolutely stunning name venus mention quite mortal best friend gemma good friend offer astrid wrist turn true friend also loveable yet slightly ugly demon baby adore astrid help really find cool eat glitter magic astrid throw seem sweet creepy kind way yet find adore creepy little demon throughout book astrid heroine one much like fun care funny hots warrior prince ethan honestly ca n't blame hots ethan either gorgeous extremely sexy charm amuse equal attraction astrid make perfect sense since destine mate choose one fashionably dead outrageously fun amuse romp plenty romance comedy sex hot feel like fire plenty twist turn awesome trick adventure around every corner die next book new hot damn series give five five star wonderfully write book awesome sauce ca n't wait go pick book check masterpiece,A outrageously fun read,1378425600,5,0.05389221556886228,0.059880239520958084,0.0,0.12574850299401197,0.059880239520958084,0.2634730538922156,0.07784431137724551,0.029940119760479042,0.05389221556886228,0.16766467065868262,0.10778443113772455
30,B00EYMXM2I,5,story vamp demon fairies angel even horny little old man anyone ask book laugh minute love robyn 's sense humor say love baby demon rachel ross beyonce honest abe keep finger cross book two come fast,You rock Robyn!,1378512000,3,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.19444444444444445,0.08333333333333333,0.1111111111111111,0.08333333333333333,0.16666666666666666,0.027777777777777776
74,B00EYMXM2I,5,saw title fab review awesome darynda jones fb price buy 'm glad book hilarious heart break dirty sexy together fun read 'll beg wonder hell book two astrid year old woman live life way smart mouth smoke black raspberry chip ice cream love prada whore teach art bunch lovable perverted foul mouth old people love life ca n't stand thought change choice take finally decide dump love life marlboro light instead fork thousand buck best friend lose bet go hypnotist think wake memory get bed incredible hearing scent foul mouth oprah look alike happens angel tell 's vampyre astrid kinda sorta lose throw adorably ugly baby demon fairy could double arnold horrendously hilarious fashion sense prophecy want nothing one fanfreakingtastic story mention drop dead gorgeous vampyres l v e book wait get greedy little hand book two character real emotion powerful sex hot hot hot humor absolutely hilariously borderline crazy n't laugh much read long time question book two,"Angels, Fairies and Vampyres oh my...",1378512000,3,0.07801418439716312,0.07801418439716312,0.0,0.06382978723404255,0.10638297872340426,0.1773049645390071,0.12056737588652482,0.05673758865248227,0.09219858156028368,0.1347517730496454,0.09219858156028368
281,B00EYMXM2I,5,love book could put hope story continue many book come action pack funny exciting romantic everything love story highly recommend,Found another favorite author,1378684800,4,0.0,0.0,0.0,0.17391304347826086,0.08695652173913043,0.34782608695652173,0.0,0.0,0.0,0.21739130434782608,0.17391304347826086
320,B00EYMXM2I,5,n't know start review r peterman 's book unlike anything else ever read first book hard side split pee pant funny second book pirate dave randy adventure fashionably dead hot paranormal romance lot twist turn mention load wackiness love robyn 's voice come loud clear book 're lover vampire fairy angel attitude favor pick one love love love ca n't wait next one,FABulously funny and wickedly sexy,1378771200,3,0.05263157894736842,0.07894736842105263,0.0,0.07894736842105263,0.05263157894736842,0.23684210526315788,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.18421052631578946,0.15789473684210525
277,B00EYMXM2I,5,delightfully warped foul mouth mind author robyn peterman come fashionably dead fun paranormal romance tale introduce new imaginary bff astrid astrid gorgeous art teach rather aimless single gal unholy love prada mouth would make sailor blush 's never know father mother stone cold bitch ca n't stand sight daughter astrid change vampyre meet bombastic guardian angel pam affectionately yell astrid prefer call really creative as word moniker throw year old fairy warrior quite human best friend gemma vampyre hierarchy right kentucky 've get set one rollick rowdy romp astrid mouthy funny try figure life undead new family makeup best friend guardian angel fairy soon join strange little ceiling monster astrid soak love miss since nana die learns 's chosen one intend eternal mate smoking hot vampyre prince take care business astrid still show senior center teach art class horny senior citizen deal nasty mother inform astrid 's die coming friday figure identify avoid rogue vampyres laugh loud snicker funny super hot sexy even tear bit astrid try come term desperate need please hateful mother wonderful escape,Delightfully warped and fun romance!,1378857600,3,0.08333333333333333,0.05357142857142857,0.0,0.13690476190476192,0.07738095238095238,0.22023809523809523,0.13690476190476192,0.06547619047619048,0.02976190476190476,0.125,0.07142857142857142
