,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
74,B00FGFYIS4,5,oh gosh belle do woman even real time one lucky one get hot little hand nox er um arc copy book devour matter hour take one book worm year old girl toss adventurous old sister add care mum caring yet protective da get flynn 's ciaran flynn immigrant ireland come meet married wife terah delilah 'lily ' much prefers flynn 's self make millionaire ciaran work tail learn trade find company reason though become excessively protective daughter 's time explore world around terah gotten bit freedom lily get none escape book erotic romance trouble hit early novel girl 's kidnap everything really seem separated point lily 's tale happen trust arm ruggedly handsome kidnapper name nox two accomplice rock boo become story like one read get happily ever end lily flynn strong enough survive plot twist make little sense anyone involve nox real story friend lily uncovers question story many twist turn laugh hysterically one minute scene penis butter sandwich picture ready cry eye heartache next,One word: Nox,1380153600,31,0.06666666666666667,0.04,0.0,0.10666666666666667,0.08,0.28,0.14666666666666667,0.05333333333333334,0.0,0.10666666666666667,0.12
284,B00FGFYIS4,5,lily flynn living shelter life last year nothing could 've prepare excitement come kidnap new unknown security detail safety nox taylor want nothing neutralize threat lily return home safely 's babysitter n't time trouble spitfire already cause lily end safe house security detail try solve eliminate death threat day day spend time read observe spar nox co worker lily feisty n't back without fight nox make great alpha male remind great kristen ashley character dominant cocky also unbelievably sweet delightful novel laugh first chapter idea serious topic could right hilarious love every minute every word book lily nox slow silent kind love love sneak 's little thing add make fall love 's love come witness kind word action thought love come daily interaction time love type story seem realistic felt like natural kind love know get kidnap find imminent danger fall love bodyguard natural kind way lol seriously though two character two pea pod fit together perfectly sweet lovable bottom line hilarious joy ride roller coaster suspense laugh belle aurora brings trademark wit fabulous story kidnap death threat mask safe house defense training mystery passion eventually love give brilliant star receive review copy exchange honest review,Trademark Wit and Suspense!,1380240000,29,0.09239130434782608,0.06521739130434782,0.0,0.11413043478260869,0.08152173913043478,0.21195652173913043,0.09239130434782608,0.05434782608695652,0.016304347826086956,0.16304347826086957,0.10869565217391304
42,B00FGFYIS4,5,love book love belle 's booksi love nox hot alpha male love lily book page turner every way say laugh loud lot towards end cry mean sob cry huge lump throat could read page quick enjoy get hea mmm love book totally star get book wo n't retreat totally awesome,10 stars plus this book,1380240000,29,0.0,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.0,0.27586206896551724,0.06896551724137931
95,B00FGFYIS4,5,un freakin believably amaze good hot love belle aurora write amaze ball smexy hot action pack laughing as n't sure expect start read find plot interest love camaraderie nox rock boo maybe would nice bit prologue end job lily 's story anyway love story go balled eye lily life n't allow lead live take away loved nox lily find hea doin ' happy dance,Captivated,1380240000,29,0.0,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.3611111111111111,0.027777777777777776,0.0,0.0,0.19444444444444445,0.1388888888888889
140,B00FGFYIS4,5,book keep read straight love character knox first still appreciate lily hilarious spunky action awesome secondary character hilarious entertain read ',awesome story!,1380240000,29,0.0,0.0,0.0,0.0,0.18181818181818182,0.45454545454545453,0.0,0.0,0.0,0.36363636363636365,
49,B00FGFYIS4,5,finish one wow say enough much love story drama intrigue action romance humor big fan belle aurora 's book another winner author plot unique sure keep edge seat thing roll story plenty humor romance intersperse feel like story go stick brain awhile highly recommend willing captive disappoint,Another winner from Belle!!,1380240000,29,0.10526315789473684,0.02631578947368421,0.0,0.10526315789473684,0.13157894736842105,0.21052631578947367,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.10526315789473684
90,B00FGFYIS4,5,belle could n't put love character laught best part apart nox sooo real bull actually see thing get difficult rainbow wonderland feel couple expect ca n't wait 's come next really fell love nox,Just perfect!!,1380326400,29,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333
76,B00FGFYIS4,4,starsinteresting storyline n't sure suppose like nox make turn hole guy willing act feeling could n't help like wish would behind lily nox crew father fiercely overprotective get glimpse would nice actually confrontation father understand come overall good read character pull 're edge seat wait see happen next nox lily,Reviewed for Cocktails and Books,1380326400,29,0.045454545454545456,0.045454545454545456,0.0,0.22727272727272727,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.18181818181818182
139,B00FGFYIS4,4,enjoy book like character story keep attention curious see plot go go check,Solid Story,1380326400,29,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2
87,B00FGFYIS4,5,want knox mean would want hot broody protective sexy bodyguard man man minute open mouth although lily little scared make feel safe powerfully strong relationship form wonderful book go give away specific 's funny many part yes sad others love boo rock knox take breath make swoon lily great lead lady character great sense humor totally dependent completely love knox great stand alone cliffhanger amazing end,Awesome - KNOX :-),1380326400,29,0.038461538461538464,0.038461538461538464,0.0,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.0,0.0,0.15384615384615385,
