,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
67,B00JDYC5OI,5,nothing woman write read could computer software instructional manual would make sexy hot book day come u serial short novellas series 've read take couple novella get business give u true romance clearly mini series captivate odd relationship mentor side sexual frustration obviously hide something neither willing give much away relationship secret even fair warn cliffhanger kind jaw drop make swear loudly ms williams quick read do elliptical workout gym 'm ready sure make next time need read private glass wine sexy hot heavy read give copy review,Sexiest serial of the year!,1396224000,136,0.07317073170731707,0.07317073170731707,0.0,0.2682926829268293,0.07317073170731707,0.17073170731707318,0.07317073170731707,0.024390243902439025,0.0,0.0975609756097561,0.14634146341463414
329,B00JDYC5OI,5,read blurb really look forward read one pleasant surprise expectation overachieve quick read length first page 'll get hook story character chemestry mcs banter addictive flow throughout story reading hour sexy witty amazingly write hot mean end cliffhanger worry wo n't wait long whole story unfold next couple month think ms williams proven amaze author give short book depth wholesomeness full lenght novel would provide ca n't wait see story lie secret lead u like conceited blunt foul mouth alpha male lawyer love meet andrew affair witty sassy pre law student ballerina aubrey simply scorh page away read,A sexy hot and smartly written page turner,1396224000,136,0.06557377049180328,0.06557377049180328,0.0,0.11475409836065574,0.08196721311475409,0.26229508196721313,0.11475409836065574,0.03278688524590164,0.04918032786885246,0.09836065573770492,0.11475409836065574
255,B00JDYC5OI,4,wow rollercoaster ride thrill sexy slightly angsty andrew infuriate alpha lawyer aubrey sexy ballerina pre law student 'm hooked look forward book fyi cliffhanger,4 1/2 stars,1396224000,136,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
337,B00JDYC5OI,4,tone amazon review check real one goodreads romance reviewsthis good n't normally go novellas whitg one author make read novella walk away love difference remember serial story short need get full story churn bad boy quickly patient andrew freakin ' hot think go spontaneously combust chemistry alyssa really likeable female lead ca n't help root want hate andrew want forgive 're mad sudden 're like please come knock door wicked thing andrew please love god please get book 'll take like time zip 'll like stalk whitg regular 's fine like stalker think,Get this serial n your life!,1396224000,136,0.12280701754385964,0.07017543859649122,0.0,0.08771929824561403,0.05263157894736842,0.21052631578947367,0.12280701754385964,0.07017543859649122,0.07017543859649122,0.08771929824561403,0.10526315789473684
50,B00JDYC5OI,5,wow whitney garcia wiliam write keep get well well reasonable doubt first part three part serial romance story let tell start read go devour every word tale start andrew high power attorney like meet woman online date site one relationship like blurb read one dinner one night repeat relationship alyssa friend never meet communicate electronically love though never meet feel chemistry sexy banter know meet go explosive want mention much read book discover however let say last word dancer enjoy dance art form might enjoy book dream become dancer relate one character like say go say much character feisty talented think force reckon help love character really quick read do go die next part series sexy page one get enough book,Could not put down,1396224000,136,0.0967741935483871,0.04838709677419355,0.0,0.1774193548387097,0.04838709677419355,0.22580645161290322,0.08064516129032258,0.06451612903225806,0.0,0.12903225806451613,0.12903225806451613
500,B00JDYC5OI,5,serial 's quickly become popular lately manage fully construct complete storyline little amount page fortunately first installment reasonable doubt wonderfully build fulfill reader 's every necessity andrew hamilton prime attorney partner top law firm issue burn past get see demon lifestyle start book much want hate hate could n't help fan lusty feel receive 's routine andrew browse date site take pick hookup real name cuddle overnight stay one time thing aubrey everhart pre law major follow footstep many member family however passion dance dream become professional ballerina person talk true friend n't even know real aubrey 've never meet spoken internet phone 's whenever need vice versa andrew aubrey 's life collide secret reveal 's thing really begin heat surprise see much character development occur first book really felt like knew aubrey 's situation well internal struggle allow connect much know andrew little bit open path intrigue majority book andrew aubrey distant yet chemistry still high level meet heat skyrocket set u rest series serial knew would cliffhanger left mouth hang open think distract andrew aubrey sexiness never saw think would end way high five whitney sweep rug whitney gracia williams really outdo first erotic romance serial really look forward read second part series,The Truth Always Comes Out,1396310400,141,0.07758620689655173,0.04310344827586207,0.0,0.19827586206896552,0.05172413793103448,0.2672413793103448,0.07758620689655173,0.0603448275862069,0.034482758620689655,0.09482758620689655,0.09482758620689655
461,B00JDYC5OI,5,first book author cant wait love story like dominate male andrew love sweet innocent ha heroine fiestiness get aubrey connection thru email phone call texts hot come face face explosive lie secret continue see play laugh read book get hot reading book cant wait part send friend author get book,WOW!!!!!,1396310400,141,0.0425531914893617,0.10638297872340426,0.0,0.1702127659574468,0.06382978723404255,0.2553191489361702,0.10638297872340426,0.02127659574468085,0.02127659574468085,0.10638297872340426,0.10638297872340426
233,B00JDYC5OI,5,read anything whit write good favorite book boyfriend jonathan mid life love start like andrew say start like arrogant egotistical jerk think god 's gift could n't stand start book begin grow sure time whitney get do weave magic book write spell wo n't know ever live without finish book even cameto end heartbroken want go luckily wo n't wait long next installment get busy write whitney anticipation kill,"LOVED, LOVED, LOVED THIS !!!!!",1396310400,141,0.04878048780487805,0.04878048780487805,0.0,0.0975609756097561,0.07317073170731707,0.14634146341463414,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.14634146341463414,0.2682926829268293
48,B00JDYC5OI,5,say m whitney next book need come like yesterday amaze read thank rock,Whoa!,1396310400,141,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,
401,B00JDYC5OI,5,first must say loved serial take little hour devour begin andrew aubrey story hook begin annoyingly handsome andrew cockiness lawyer play part well blunt forthcoming point seem routine especially come woman little divulged past make intriguing happen woman pick online mysterious yet loquacious strike friendship woman meet online chat group friendship foundation story adamant hating liar make clear liar place life yet get caught aubrey web deceit help aubrey beautiful young student ballerina determine focused try make world law one parent dominate whole life little support turn andrew problem support seem thrill well give sense calm know deceive wrong yet stop passion chart hot andrew blunt true dirty talker super sexy make aubrey melt underneath need fabulous couple crazy antic one minute hot next cold way hot play well page page amaze start new series wait reasonable doubt nicole,Great Book!,1396310400,141,0.09090909090909091,0.11363636363636363,0.0,0.10227272727272728,0.056818181818181816,0.1590909090909091,0.18181818181818182,0.056818181818181816,0.06818181818181818,0.07954545454545454,0.09090909090909091
388,B00JDYC5OI,5,short fast pace read build hot intense end keep edge wait second instalment three part series love,Hot Read,1396310400,141,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667
390,B00JDYC5OI,5,whitney usual disappoint another awesome story hot character another great couple come life many way begin leave want know happen next wait anxiously pin needle,Reasonable Doubt,1396310400,141,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285
447,B00JDYC5OI,5,well whitney do steam hot novella part series end major cliff hanger certainly n't see come left desperate next installment andrew hamilton sexy hot shot lawyer moto one dinner one night repeat connects alyssa aka aubrey online cyber relationship base lie aubrey turn interview intern andrew 's law firm identity realise thing start get heat way one short read tear surprise little felt sorry aubrey although firey sassy girl definitely look could also sense vulnerability come brilliant read whitney ca n't wait get stick next part andrew aubrey 's story sure best yet come arc receive exchange honest review,LOVED IT!,1396310400,141,0.13043478260869565,0.13043478260869565,0.0,0.13043478260869565,0.043478260869565216,0.15217391304347827,0.13043478260869565,0.08695652173913043,0.06521739130434782,0.06521739130434782,0.06521739130434782
