,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
388,B005C5YZ86,5,love first book mackenzie brother quartet dane fell love dane felt like knew charlie dane together perfect read could put start stayed night reading could find happened end want dane write great never slow part want put book story come back another time whole thing great sex hoter love much go buy three book book like 's potato chip ca n't read one want four brother,"Dane was a great, quick read.",1310947200,0,0.5,1,0.0,0.0,0.0,0.17391304347826086,0.0,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.0,0.21739130434782608,0.17391304347826086
75,B005C5YZ86,2,read short ever look preview amazon offer fifth paragraph dane 's ride mention rattrap rattrap evidently character transformer beat car rattletrap editor book flunk high school english author could n't get past sound interesting heaven 's sake check colloquialisms embarrass minor detail little thing like wrong 's good bet big problem write,Do you have an editor?,1314489600,4,0.5,1,0.0625,0.0,0.0,0.1875,0.0625,0.25,0.1875,0.125,0.0,0.0625,0.0625
319,B005C5YZ86,4,dane 's story quite short great read jump right amazon buy three series like another reviewer say n't lot closure really none actually story 'm hop 'll get see dane charlotte next book want good quick hot read jump dane prepare leave want,Great intro to the Mackenzie Brothers Quartet,1314489600,4,0.5,1,0.0,0.05,0.0,0.1,0.1,0.25,0.05,0.1,0.0,0.2,0.15
156,B005C5YZ86,5,entertain short novelette love character story would prefer bit longer describe union son otherwise joy read,Enjoy reading Dane Mackenzie,1314489600,4,0.5,1,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.375,
343,B005C5YZ86,1,description book talk woman leave heartbroken alone pregnant never forgive manwho leave way five minute chance encounter steamy sex garage plot character development penthouse forum far believable oh book cover deserve star,No plot. Just sex. Spoiler alert!,1314576000,3,-0.25,-2,0.0,0.045454545454545456,0.0,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.13636363636363635
316,B005C5YZ86,5,short story pack e x enjoy much first author last like erotica good snack,"Dane,hot, hot,hot!",1314662400,2,-0.3333333333333333,-2,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182
225,B005C5YZ86,5,great short read book time hooked buy read book series ca n't wait read cade 's story wish sooner,great!!,1314662400,2,-0.3333333333333333,-2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.4
1,B005C5YZ86,3,short story tell homecoming bad boy dane less warm welcome give old childhood sweetheart charloette could blame dane leave abruptly without word worse still baby know one may puzzle dane love charloette much would hook female interim never try contact bam meet want alas fickle nature man 's heart suspend disbelief change attitude book make quick easy read,Quick easy read,1314921600,1,-0.5,-2,0.08823529411764706,0.058823529411764705,0.0,0.058823529411764705,0.029411764705882353,0.20588235294117646,0.17647058823529413,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.058823529411764705
364,B005C5YZ86,2,keep mind short story primarily erotica still disappointed speed romance spoiler alert hero run heroine ten year unknowingly leave pregnant still sex minute see agree marry almost fast ten year come write quality seem fine seriously blind impatience character although n't discount read author future go look anything else,Well . . . OK . . . but . . .,1315180800,0,-1.0,-2,0.05263157894736842,0.02631578947368421,0.0,0.15789473684210525,0.10526315789473684,0.18421052631578946,0.13157894736842105,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.10526315789473684
203,B005C5YZ86,3,pick short ebook free n't much expectation think write good would read author beef story move fast pace potential include could great cast character series short care character much leave unsaid unaddressed since appear teaser series may get answer later book,"Potential is there, but too short to deliver",1316304000,0,0.5,1,0.0,0.0,0.0,0.25,0.125,0.3125,0.0625,0.0625,0.0,0.0625,0.125
