,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
391,B005ME39HU,4,'ve read horrocks ' stuff wild zucchini know character strong suit bah humbug follow observation 's winter guy girl next door neighbor kid story fun great line move well like read others hear 's put romantic comedy rat g kind nice know n't skip stuff n't want read star high n't ever,Feel Good Holiday Reading Novella,1316822400,1,0.0,0,0.037037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.037037037037037035,0.18518518518518517,0.14814814814814814,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.14814814814814814
42,B005ME39HU,4,admit thing christmas story sweet heart warm romance blustery outdoors scene make want snuggle book hot tea bah humbug heather horrocks exactly kind novella mutilate snowman holiday cheer trouble past book holiday spirit write lexi mother two although may hard time past 's successful martha stewartesque host tv show new home salt lake city kyle successful child 's author happen lexi 's child 's favorite author also somewhat grinchy next door neighbor start finish fill warmth character christmas spirit story sweet charm reel page one author hook reader funny situation soften sad backstory depth character make set come alive story provide exactly expect holiday story like evolution character kyle really set tone make whole thing work part story n't like end though feel major self revelation end n't seem plausible think might better hint future leave rest imagination sometimes n't say important say overall though write great description enough without story arc nice also like sweet story steam lovely romance anyone could enjoy rating expect go every romance lover 's reading list christmas happy reading indie tea,Tis the Season,1317168000,0,-1.0,-2,0.027210884353741496,0.02040816326530612,0.0,0.19047619047619047,0.07482993197278912,0.272108843537415,0.027210884353741496,0.05442176870748299,0.006802721088435374,0.14965986394557823,0.17687074829931973
143,B005ME39HU,4,every year around christmas get hankering start read fun light seasonal romance bah humbug download online cent begin read fuzzy blanket mug hot chocolate within first couple page already feel pull onto small christmas street lexi home design show host kyle nyt bestselling author end next neighbor kyle experience bit writer 's block work tight deadline next book series see newly build snowman ion property line work plot begin disassemble piece head first lexi n't appreciate psycho snow man killer ruin winter wonderland scene file next day two meet first time 're sure enjoy clean light novella talk heal loss fresh new beginning thing move little quickly end set utah 've ever live know anything happen two love bird week love bah humbug would recommend anyone heather horrocks way word first taste book stuff wild zucchini learn visit site,Fun Christmas Read,1321228800,0,0.5,1,0.05405405405405406,0.06756756756756757,0.0,0.16216216216216217,0.02702702702702703,0.25675675675675674,0.0945945945945946,0.08108108108108109,0.02702702702702703,0.10810810810810811,0.12162162162162163
115,B005ME39HU,5,totally enjoyed entire book character likeable love story line itmade smile laugh way thru sweet hilarous heartwarming five star,"A wonderful, entertaining romantic comedy!",1323475200,1,0.5,1,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.1111111111111111
373,B005ME39HU,5,really enjoy great christmas story love cover publish christmas short story want read one sweet like feel give kindness holiday spirit author put book beautifully write 'd love see happen lexi 's next chapter,"No Bah, Humbug here!",1323648000,0,-1.0,-2,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456,0.36363636363636365,0.0,0.0,0.0,0.22727272727272727,0.18181818181818182
184,B005ME39HU,5,get talk book want say absolutely love cover book think 's safe say definitely cover crush book amaze read really get christmas spirit lexi anderson main character divorce mother two child trista year old stephen year old lexi also tv hostess often refer martha stewart new millennium story lexi anderson meet kyle miller author child happen obsess also next door neighbor first meet lexi kyle get wrong foot 's definitely hilarious n't get along first story go along learn lot character struggle even truly feel one another absolutely love book definitely read shock even though short story end perfectly favorite part story reason get wrong foot end start something new book make laugh almost make cry really get christmas spirit love every minute,Cutest Christmas Story Ever,1324598400,2,0.5,1,0.046153846153846156,0.046153846153846156,0.0,0.12307692307692308,0.07692307692307693,0.27692307692307694,0.1076923076923077,0.06153846153846154,0.015384615384615385,0.15384615384615385,0.09230769230769231
334,B005ME39HU,4,love fun romantic sweet thoughtful holiday story pick kindle freebie awesome deal 'm glad stumble upon 's totally mushy head heel fall love fast story feel good book minus dose sex usually get romance believe wo n't miss steamy scene book wonderful without perfect quick light read holiday,The perfect quick and light read for the holidays,1325116800,1,-0.5,-2,0.01639344262295082,0.0,0.0,0.14754098360655737,0.08196721311475409,0.26229508196721313,0.04918032786885246,0.03278688524590164,0.0,0.22950819672131148,0.18032786885245902
249,B005ME39HU,4,book element humor love family sadness christmas cheer lot element short book none less well balance really enjoyed one recommend anyone look light christmas read,Bah great book!,1325116800,1,-0.5,-2,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693
173,B005ME39HU,5,would definitely recommend book holiday season 's easy quick read 's clean fun well write could imagine christmas street really look like snowman light decoration character realistic fun really enjoy book,Tis the season for a short and sweet romantic novella!,1325548800,0,-1.0,-2,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.2777777777777778,0.2222222222222222
255,B005ME39HU,5,something read chance little peace long go regular book put smile face laugh chance clean romance lexi anderson lot life parent kill marry ex find something mom kid successful cook decorate business next martha stewart thing look family kyle miller successful novelist family n't appreciate lose mother christmas eve long time ago something father brother try put behind celebrate season lexi move next door first impression n't exactly great kyle take snowman lexi kid build quest research new book complete less month thing take include lexi making sure kyle stop scrooge celebrates holiday family really enjoy book look forward read author,Great humorous romance,1326326400,4,0.5,1,0.0547945205479452,0.0136986301369863,0.0,0.1643835616438356,0.0958904109589041,0.2465753424657534,0.0410958904109589,0.0547945205479452,0.0136986301369863,0.1506849315068493,0.1643835616438356
304,B005ME39HU,5,moment pick charm word inside light funny story lot twist turn make grin laugh loud smile cover cover glad read book,"Fun, entertaining read from cover to end:-)",1326585600,4,0.0,0,0.0,0.0,0.0,0.23809523809523808,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523
22,B005ME39HU,4,although book bit predictable duh romantic comedy enjoyable read like character story fact lexi single mother like big roll two child play story also fun bonus book take place salt lake city area live download book free amazon smart move introduce author read would like read although christmast would recommend book others would like light hearted quick read,Not so Bah at all,1326672000,2,-0.5,-2,0.0,0.0,0.0,0.2,0.04,0.28,0.04,0.04,0.0,0.2,0.2
208,B005ME39HU,4,cute funny clean romance 's predictable get together make delightful character unique well flesh wish bit polish do text error key emotional moment delight,Very humorous and heartwarming,1326672000,2,-0.5,-2,0.041666666666666664,0.0,0.0,0.125,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.125
97,B005ME39HU,4,really enjoyed read story especially way lexi kyle meet dialogue really realistic fun read think end little abrupt bring smile face anyway 're mood christmasy romance would definitely recommend one,"Sweet, light story",1326758400,2,0.0,0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.0,0.17647058823529413,0.11764705882352941
284,B005ME39HU,5,'ll admit love sweet christmas story sweet romance story perfect combination two love story write quite good would really like full length novel,Very sweet story anytime of the year,1327104000,2,0.0,0,0.03225806451612903,0.0,0.0,0.16129032258064516,0.12903225806451613,0.25806451612903225,0.0,0.03225806451612903,0.0,0.22580645161290322,0.16129032258064516
287,B005ME39HU,4,quick read great little romance family problem solve way easily one angst ridden evening novella,Cute and fun,1327276800,1,-0.5,-2,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.1
336,B005ME39HU,5,book short story cute read fit schedule perfectly allow read lunch break would recommend quick read,Merry Chirstmas to me!,1327449600,1,0.0,0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,
378,B005ME39HU,5,wonderful sweet romantic book regret reading love keep interest way,Very Good Book!,1327968000,4,3.0,1,0.0,0.0,0.0,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.0,0.21052631578947367,0.10526315789473684
47,B005ME39HU,5,lexi kyle opposite 's endear thing lexi love christmas kyle n't ever want remember lexi 's child fit nicely without sappy love christmas could better,Don't Miss This One!,1328054400,2,-0.5,-2,0.0,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.375,0.125
320,B005ME39HU,5,book read everything good book n't drag like book 've read look book author,It's a keeper,1328054400,2,-0.5,-2,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
29,B005ME39HU,4,lexi anderson new martha stewart minus jail time help neighbor kyle family find christmas spirit process find love family wan na lexi anderson grow also wish kyle miller best sell novelist maybe 'll adopt problem suspend reality believe two fell love six day range well write emotion character throw along snowballs finger reality author wove story warn 've lose parent share memory mama scene yank couple tear tissue 'm normally sweet romance reader get frustrate character lack sex 's hard dislike invite story like even n't get busy imagination go rampant later bit story n't buy throughout incredibly well behave get alongable yes make word second totally understand mean 'm sure kid mean teenager daughter n't least bite strop time time move new house new state new climate mom fall idolize guy next door stressful time everybody happy go lucky whole time expect little conflict maybe story longer 'd get want know always get want recommendation yeah one click one maybe even check author 's work chick flick clique series look cute give one four star see reviews free ebooks check blog amy denim 's day free ebooks,A snowy day read,1328227200,2,0.0,0,0.06666666666666667,0.0380952380952381,0.0,0.14285714285714285,0.06666666666666667,0.19047619047619047,0.11428571428571428,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.1523809523809524
379,B005ME39HU,5,loved story take less hour read well write n't notice typo critic maybe fix kindle either way lexi seem like great single mom take pretty good care kid except leave alone go shop find strange kid incredibly well behave read together nightly find awesome also like kyle lexi become friends blackmail due snowman slaughter completely okay fast pace relationship ready love come wait 's like actually get married week cute book suggest friend family,Super cute Christmas story,1328313600,1,-0.5,-2,0.06060606060606061,0.06060606060606061,0.0,0.12121212121212122,0.09090909090909091,0.18181818181818182,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.12121212121212122
99,B005ME39HU,3,enjoy author 's writing style enjoy character enjoy develop relationship two main character wham rush marriage proposal chapter middle think could 've give four even five star rating,Why the sprint to the finish?,1328745600,0,-1.0,-2,0.034482758620689655,0.034482758620689655,0.0,0.20689655172413793,0.0,0.27586206896551724,0.034482758620689655,0.034482758620689655,0.0,0.1724137931034483,0.20689655172413793
302,B005ME39HU,5,n't book magic could sappy christmas story turn wonderful magical bring family together christmas story n't merely read lexi kyle 's story part story come breath do book read one sit 've never give star book wonderful heartwarming read felt compel,"A Terrific Book, A must Read",1329868800,1,0.5,1,0.0,0.0,0.0,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941
388,B005ME39HU,5,since christmas favorite time year decide extend reading time really love book like buy family together comical way make two people realize lot common also make realize lose love one need continue life enjoy maximun know would want,Loved this book,1330387200,2,1.0,1,0.041666666666666664,0.041666666666666664,0.0,0.125,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666
137,B005ME39HU,5,'m much love story except maybe jane eyre darker mystery must say novella make happy 's well write syrupy tight story line although would think could longer perfect read one sit lie case may really want find whether boy get girl live happily ever 's sort disneyesque best beauty beast except would beauty handsome bring back story mid th century might even see doris day lead basically thoroughly enjoy leave satisfied 'm hesitant buy another expectation variety heather horrocks ' writing already old money list ew,Brings Back the Well-Written 40s and 50s Romances,1330560000,2,0.0,0,0.041666666666666664,0.0625,0.0,0.08333333333333333,0.0625,0.22916666666666666,0.10416666666666667,0.0625,0.041666666666666664,0.1875,0.125
353,B005ME39HU,3,liked story rush get marry alexis divorce husband leave get married soon want live life keep say happy life two kid one else story span less week fall love get engage 'm sorry understand fall someone quickly get engage within week know especially since woman keep say happy life tv show host like martha stuart new house two kid story span month le week otherwise nice light romance sex real sexual tension anything like romance n't even remember kiss except get engage believable format author make long story plot nice could do much,Cute but too rushed to the altar,1330646400,1,-0.5,-2,0.06779661016949153,0.03389830508474576,0.0,0.1694915254237288,0.1016949152542373,0.1694915254237288,0.06779661016949153,0.1016949152542373,0.01694915254237288,0.13559322033898305,0.13559322033898305
133,B005ME39HU,3,bah humbug cute novella recommend friend free nothing lose enjoyable fun definitely agree review end felt rushed anything would actually happen real life fact real mention lexi kyle love throughout story regardless fun pg romantic comedy 'm glad read cost nothing get lose might find author really like,"Cute, definitely rushed, good for free!",1331078400,1,0.0,0,0.043478260869565216,0.06521739130434782,0.0,0.15217391304347827,0.043478260869565216,0.2608695652173913,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.13043478260869565,0.10869565217391304
