,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
224,B00HYQJPC2,5,dex awesome great read love look forward author,Really good read,1390348800,29,0.0,0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.2,
361,B00HYQJPC2,5,holy crap really first person review book well case wonder get money 's worth book long long loved character iris recommend tattoo artist front desk lady half brother sonny sonny friend owner tattoo shop dex definitely n't immediate sexual tension dex as iris dex bad new people iris 's super shy dex n't like process people get use 's gathered personality though iris really shy begin pushover never get nerve recently 've feel real judgy towards heroine find something always bother think n't think ever like iris even though 's mousy 's still really strong find positive really shitty situation dex hawwtt sure begin dick reason reasonable reason reason n't think bother great character couple somewhat slow buildup n't get intimate last half book n't really mind author n't bore unnecessary detail mc book book n't much angst 'm totally ok overall great read worth money worth time hopefully enjoy book well,great book!!,1390348800,29,0.0,0,0.1111111111111111,0.06349206349206349,0.0,0.15873015873015872,0.031746031746031744,0.2857142857142857,0.09523809523809523,0.031746031746031744,0.031746031746031744,0.07936507936507936,0.1111111111111111
217,B00HYQJPC2,5,little concerned saw length book wonder 'd keep interest 'd skip page nope awesome read h lose job luck move austin live brother part mc get office job tattoo parlor own another mc member instant dislike ca n't stand look 's constantly yell know job issue dad former mc member owe money rival gang put danger end stay bos ' house couch brother try find dad gradually h h become friend thing n't really heat halfway thru book nice build really much term usual top behavior see lot mc book thoroughly enjoyable read,Great MC Book,1390435200,40,0.3793103448275862,2,0.09615384615384616,0.09615384615384616,0.0,0.1346153846153846,0.07692307692307693,0.23076923076923078,0.1346153846153846,0.07692307692307693,0.038461538461538464,0.057692307692307696,0.057692307692307696
264,B00HYQJPC2,5,read book day half really good say ef n hilarious,Great!,1390521600,49,0.225,2,0.0,0.0,0.0,0.125,0.25,0.25,0.0,0.0,0.0,0.25,0.125
329,B00HYQJPC2,3,personal opinion one would long repetitive heroine pov exhaust due constant insecurity everything like dex ott attitude reader give enough make ri 's inner musing like author 's book though read future,Too Long,1390521600,49,0.225,1,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333
339,B00HYQJPC2,5,page actual romance get know hero heroine get watch progression fall relationship zapata 've give created world see character sacrifice nothing grammar plot romance dignity nothing love dex n't sweet accommodate begin love iris n't wear survival status excuse live life full love dex jealous possessive protective loyal iris love care mad love chase claimed n't resentful punk love pay one flat free complete utter fabulous story thank mariana zapata gain tangible life,One of the best MC romances I've read.,1390521600,49,0.225,1,0.08536585365853659,0.036585365853658534,0.0,0.13414634146341464,0.06097560975609756,0.24390243902439024,0.08536585365853659,0.06097560975609756,0.024390243902439025,0.17073170731707318,0.0975609756097561
283,B00HYQJPC2,5,premiseiris taylor move austin tx live half brother sonny since lose tie florida mother grandmother pass away brother joined army station japan sonny member widow mc get job pin needle tattoo shop own dex locke dick monumental proportion moment iris meet iris secret issue get close people trouble loser father lead depend widow realizes family n't one ca n't choose one goodone best feature story n't cliffhanger novella full novel begin middle end take time develop relationship within n't sure think start read biker romance since experience hit miss biker romance usually dependent couple thing action plot override actual character development shock factor world different typical romance novel reader 's like train wreck ca n't look away madeline sheehan 's undeniable series come mind one good examples additionally biker hero land wrong side alpha hole end dislike one lead happy say really enjoy get know iris dex well character populate story dex could well line alpha hole first friendship iris eventually love development character elevate one dimensional lead could iris could easily frustrate heroine yet rid line well n't moment throughout felt played false n't make sense base history reveal bit bit secondary character n't fully develop dex iris seed easily see series series 'd eager read okaywhile enjoy fact time take develop character could mild edit tighten story fix minor grammatical spelling error though fair see much bad minor quibble obstacle major angst portion plot involve father n't strong romance resolution plot point almost afterthought bottom linei pleasantly surprised story 'd recommend really like character drive instead action pack book 'm look forward see m zapata,"Really good biker romance, with emphasis on character development",1390608000,57,0.16326530612244897,2,0.09036144578313253,0.05421686746987952,0.0,0.16265060240963855,0.06626506024096386,0.2469879518072289,0.0783132530120482,0.08433734939759036,0.030120481927710843,0.0783132530120482,0.10843373493975904
310,B00HYQJPC2,5,best biker book 've read quite long book never skip page keep interested full book recently skip page book nothing like thoughtless motorcycle man anything laurann dohner great best long book 've read long time,Biker hit,1390608000,57,0.16326530612244897,1,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.0,0.3076923076923077
304,B00HYQJPC2,5,say book different enjoyable book fact mc book part think lack lot way compare mc book isnt fair since every author idea style write mc dude course didnt revolve around mc like book read story line great character great wish ri could little bit sperm donor thats simply embrace inner bitch heroine lol sweet absolutely love hero tattoo parlor boys gal dont want ruin book anyone give away much long book person great end sue give way hea must thankful reader least let ya know much review would definitely recommend book friend,I wish this was a series!,1390694400,68,0.19298245614035087,2,0.045454545454545456,0.045454545454545456,0.0,0.18181818181818182,0.06818181818181818,0.25,0.09090909090909091,0.06818181818181818,0.022727272727272728,0.13636363636363635,0.09090909090909091
212,B00HYQJPC2,4,really enjoy read u typical biker read 's sweet funny love hero think heroine bit immature however think naivety might one funny thing book love brother sonny get story soon edit spot,Strong 4 Stars,1390694400,68,0.19298245614035087,1,0.0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.0,0.0,0.20833333333333334,0.16666666666666666
