,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
42,B00J1SP9FI,5,first congratulation l casey debut novel absolutely blow away first novel fell love dominic within first chapter intensify read loved chemistry bicker dominic bronagh well constant love hate relationship story draw keep guess happen ca n't forget damien alec kane ryder love incorporated book story definitely dominic get bit brother leave crave story also love relationship bronagh branna mother sister relationship classic love everything book relationship bicker twist turn wait l casey definitely author watch,A MUST READ !!!,1394928000,68,0.0,0,0.04878048780487805,0.024390243902439025,0.0,0.0975609756097561,0.04878048780487805,0.24390243902439024,0.14634146341463414,0.0975609756097561,0.024390243902439025,0.14634146341463414,0.12195121951219512
136,B00J1SP9FI,5,receive complimentary copy author first hell boys high school dominic nico strong alpha male stop nothing get case want bee loner quite keep girl nico eye set pissed see right front finally let love loved family bond slater brother protect matter risk love feistiness bee sister especially constantly beat nico laugh cry cussed bee blind book full attention start night read well write take use word state begin book take place ireland ca n't wait read slater brother give book star,Hot Hot Hot,1394928000,68,0.0,0,0.10909090909090909,0.09090909090909091,0.0,0.14545454545454545,0.03636363636363636,0.21818181818181817,0.12727272727272726,0.05454545454545454,0.03636363636363636,0.09090909090909091,0.09090909090909091
145,B00J1SP9FI,5,l casey 's debut novel dominic smash success dominic take place dublin ireland follow irish lass bronagh murphy meet develop rocky relationship american dominic slater dominic steamroll life sits seat school bronagh manage keep remain friendless follow parent ' death car accident child dominic set eye bronagh begin explosive push pull tug war relationship dominic slowly draws bronagh comfort zone world around relationship grows find dominic slater brother four sexy brother meet eye sarcastic funny sharp steamy downright sexy many way bronagh fragile damage past refuse trust make friend mistake mean shy quiet thing bronagh feisty spirit lass go toe toe cocky dominic emotion character raw grip see bronagh mature throughout story dominic begin pull open heart well slater brother much handle book many different element friendship family explosive chemistry secret witty banter tragedy fight sarcasm laughter hot steamy sex scene tie together addictive little package highly recommend dominic wo n't regret get book wait get next slater brother book hot little hand receive complimentary copy dominic author exchange honest review,Dominic's a MUST read!,1394928000,68,0.0,0,0.08849557522123894,0.08849557522123894,0.0,0.1504424778761062,0.04424778761061947,0.19469026548672566,0.1415929203539823,0.08849557522123894,0.035398230088495575,0.07964601769911504,0.08849557522123894
36,B00J1SP9FI,5,easily hard review write simply want book justice go dominic story love loss also story trust let go bronagh lose parent nine leave sister branna guardian person love trust bronagh build barrier around heart one able break least dominic american prick come spunky irish lass life literally turn world heel dominic attentive eye constant teasing bronagh longer invisible fellow classmate even find make friend share love hate relationship leave smile laugh like moron tell many time dominic get clocked head enjoy every single hit smack verbal combat bronagh dominic bronagh ready open heart beautiful arrogant sob life throw one twist secret dominic slater brother hide explains bring ireland first place wit humor sarcasm book mixed panty drop sex scene make dominic top book top top ever grab copy get know sexy slater brother make rethink foundation build book boyfriends um m l casey please hurry read rest slater brother specifically damien,Top 5 Read,1394928000,68,0.0,0,0.058333333333333334,0.1,0.0,0.15833333333333333,0.058333333333333334,0.21666666666666667,0.15,0.058333333333333334,0.041666666666666664,0.08333333333333333,0.075
37,B00J1SP9FI,5,manda 's star review bronagh murphy carefully construct wall around heart keep anyone get lose parent afraid lose anyone else find easy keep everyone keep away everyone else live quiet life dominic slater enters world dominic use get want brother move ireland family business expect get attention always get come across feisty beauty want nothing unable get mind dominic determine break wall claim family business threaten destroy everything love dominic brother fight keep thing love fantastic read slater brother wonderful character get enough storyline fantastic full enough alpha male action keep reading unable put must read absolutely wait next book l casey fantastic writer definitely impatiently await next book,LOVE THIS BOOK!!!,1394928000,68,0.0,0,0.08064516129032258,0.06451612903225806,0.0,0.0967741935483871,0.08064516129032258,0.27419354838709675,0.12903225806451613,0.08064516129032258,0.03225806451612903,0.08064516129032258,0.08064516129032258
179,B00J1SP9FI,5,star book love slater brother say holy hell book awesome could put book read hour want end love character well author write entire book l casey one favorite author wait rest brother get book tell series finish one favorites read list,great read!,1394928000,68,0.0,0,0.034482758620689655,0.034482758620689655,0.0,0.2413793103448276,0.0,0.3448275862068966,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.06896551724137931
311,B00J1SP9FI,5,wow seriously blow away debut release way hell year old young momma write yes yes receive complimentary copy dominic author read amazing bronagh murphy senior high school live old sister still cop death parent ten year earlier bronagh would love nothing fade away existence life bubble state solitude nobody notice prefers way slater brother move town bronagh first experience devilishly sexy twin morning registration class take seat dominic prick make fuss move bronagh cut back smart as word becomes determine dominic want dominic get dominic want please relationship go cat mouse back forth constant hate yous etc dominic always protect bronagh need really need protect everyone think since always loner shew ready crack fragile need someone work way show okay love reality bronagh hell lot strong branna friend brother ever imagine pull strength deep within fight back time call protects family refuse back fight live fight love l casey write amazingly beautiful character mesh well bronagh dominic perfect case hormonal bitch hate love much mirror bitchy mean fight want literally laugh ass many line throughout book fill humor playful banter one specific scene wo n't spoil beautifully write blown away every word chapter perfect sweet devious felt much emotion read dominic twist turn truly expect really expect come age romance book deep real love hate sex steamy sex fear gut wrench heart ache seriously want fly friggin ' dublin find l casey hug neck slap arse book blow away left completely hungover drink ready slater brother give please,AMAZING!!!,1394928000,68,0.0,0,0.09340659340659341,0.08791208791208792,0.0,0.13186813186813187,0.06043956043956044,0.19230769230769232,0.14285714285714285,0.06593406593406594,0.054945054945054944,0.0989010989010989,0.07142857142857142
307,B00J1SP9FI,4,bronagh close idea beautiful dominic relentlessly pursuit bronagh first half book rather appalled mean bronagh take lot dominic 's action wrong way dominic nice either tends say nasty thing bronagh provokes awhile dominic break bronagh 's wall realize let people bad thing dominic brother mix dangerous stuff come head thing get scary hot scene fabulous end quote mind literally scream n't right type girl stuff someone n't really know body replied simple ' f ' battle 've always mine pretty girl n't know suck ball,Fabulous,1394928000,68,0.0,0,0.1111111111111111,0.1388888888888889,0.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.2222222222222222,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.05555555555555555
50,B00J1SP9FI,4,book gut clencher bronagh live devasting death parent find hard get close people trust cry much lose parent young age really affect adult life dominic go fight hard change boy ever dominc slater hot hot hot even bite big britches time every woman need man like charge life love everything think n't much bronagh fight ca n't stop think dominic verbal physical sparring heartwarming make giggle love seeing feeling change develop throughout book story n't hearts flower story ca n't help keep turn page,LOVED everything about Dominic!!,1394928000,68,0.0,0,0.12962962962962962,0.14814814814814814,0.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.09259259259259259,0.09259259259259259,0.09259259259259259
127,B00J1SP9FI,5,wow hold panty ladies new brother town debut book start dominic aka nico start bronagh senior high school lose parent early age sister branna take guardianship close steel wall build around friend practically life 's quiet needs voice opinion 's feisty dominic aka nico twin brother damien also senior also three brother five brother move ireland family business boy make entrance dominic bronagh introduce class good way basically others throats smart comment rip new one every bad boy see challenge 's right make mission get girl bronagh definitely dominic want story captivate every page turn relationship dominic bronagh different love hate relationship 's back forth two want hate dominic thing felt bad bronagh everything 's go brother involve story well love much story think read figure slater brother mysterious secret boy definitely n't see come 's like bam face story definite must read get love hate protectiveness friendship laughter heartache steamy sex scene one look forward brother story receive complimentary copy dominic author,"wow, what a debut!!",1394928000,68,0.0,0,0.07766990291262135,0.06796116504854369,0.0,0.1553398058252427,0.04854368932038835,0.21359223300970873,0.11650485436893204,0.07766990291262135,0.08737864077669903,0.08737864077669903,0.06796116504854369
240,B00J1SP9FI,5,receive gifted copy dominic pleasure introduce wonderful cast character new adult really choose genre thoroughly enjoy book harass author dominic set ireland narrate eye bronagh feisty complicate difficult character someone would love hang real life tragedy strike family bronagh shut world use hostility quick wit keep people bay newly arrive dominic slater america appear refuse cower start complicate relationship two strong will people slow realization bronagh life never introduce dominic slater gorgeous interesting brother slater brother story tell author give taste leave u want know plenty twist turn banter bad frustrate behavior wit humor carry story along refresh change laugh loud one occasion try wake house love bronagh 's strength character felt 'real ' could find somewhere could go together cause best kind trouble,***Five Stars***,1394928000,68,0.0,0,0.057971014492753624,0.10144927536231885,0.0,0.13043478260869565,0.043478260869565216,0.2463768115942029,0.15942028985507245,0.057971014492753624,0.057971014492753624,0.10144927536231885,0.043478260869565216
263,B00J1SP9FI,5,receive complimentary copy author l casey 're bomb freak loved sure debut novel seriously totally nailed dominic hit come march th officially add book boyfriend list along brother really n't mind dominic possessive prick bronagh stubborn bitch make unique make book interesting fan love hate relationship breather story make mad laugh totally love character story hea cliffhanger leave crave slater brother four exact book tell hot must read bronagh big sister branna serve guardian wow love girl already relationship manage pull death parent like look sibling bliss blah happen sister totally relate see really lot favorite scene book funny sweet love twist gosh could totally talk book hangovered write haha leave review like finally read dominic see talk want bug l casey next book already,More than 5 STARS!,1394928000,68,0.0,0,0.07526881720430108,0.08602150537634409,0.0,0.0967741935483871,0.0967741935483871,0.21505376344086022,0.12903225806451613,0.07526881720430108,0.07526881720430108,0.0967741935483871,0.053763440860215055
162,B00J1SP9FI,5,due amazon post guideline shorten review make regulation dominic nice interlude kick story slater brother five relationship woman try take hold past dominic tell story two individual crossroad life set lavish suburb ireland meet one feisty irish gal one american underground fighter look fresh start bronagh pronounce bro nah fellow non irish friend murphy lose parent young age leave big sister branna guardian rock extent purpose due loss bronagh close let anyone get close exception big si meet american transfer student yes still high school dominic nico slater twin damien world forever shift upside love triangle two bro suitor vie attention bronagh nico love triangle thank god face person bring outside shell succumb dominic iron give life chance dominic ever win girl different others challenge every turn secret dwindling threatens tear apart everything could mean deadly consequence everything turn verdict awesome begin come l casey write quite explosive begin start something great dominic fill everything love renewal anguish deceit let go give second chance wish book two would damien nice twin brongah always refers sadly story till last know always save anticipate story end instead book two focus alec one dominic damien old brother look interest one especially alec spoiler kane ryder lastly damien gosh want book two already,Amazing Read!  So unexpected! I want book two already!,1394928000,68,0.0,0,0.10416666666666667,0.09375,0.0,0.11458333333333333,0.08333333333333333,0.21875,0.13541666666666666,0.09375,0.03125,0.07291666666666667,0.052083333333333336
116,B00J1SP9FI,4,tease bully dominic bronogh fun drag little bit little farfetched senior high school whatever book little edge family ' business ' love cast character ca n't wait next slater brother story end fast wrap easily still ok cliffhanger 'm sure book continue story deal tie family business book remind much light version jordan silver book also set high school bully tease alpha behavior h,This book was a riot,1395014400,60,-0.11764705882352941,-1,0.06060606060606061,0.12121212121212122,0.0,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.06060606060606061,0.0,0.09090909090909091,0.18181818181818182
233,B00J1SP9FI,4,struggle rating book part really love part n't like l casey 's debut novel dominic let go pain learn trust love passion main character bronagh lonely depressed firsthand irish girl painfully loss keep move dominic american alpha male bossy know want n't like hard understand way treat seem childish several time roll eye bronagh instantly jumped hate physical guy think first novel show lot potential become great author one day momma h think dominic slater brother l casey cooky glass milk,Good Debut!,1395014400,60,-0.11764705882352941,-1,0.13559322033898305,0.11864406779661017,0.0,0.1016949152542373,0.01694915254237288,0.13559322033898305,0.1694915254237288,0.15254237288135594,0.05084745762711865,0.06779661016949153,0.05084745762711865
303,B00J1SP9FI,4,star star well let try explain first think l casey really incredible talent definitely tossed twist expect love think brilliant work surprise really admire sort creativity 's something 've really see lot book refresh thank miss casey go hat star want let know enjoy book first get idea get knew ireland involve 'm quite obsessed place love country much okay okay 'm ramble onward go relate mf 's afraid losing people 's n't get close 'm exact way course felt close get go understand situation well however miss casey state 're fan possessive prick book 'm really fan possessive prick 's rub wrong way 'm fan verbal abuse kind believe dominic redeeming quality give star thing say woman love otherwise think excellent book laugh sadden may fan description slater boys oh let u forget cover absolutely smokin ' hot also one favorite quote throughout book except damien 's nice think l casey promise career wish absolute best future thank allow read book get know character star give whole heartily xx receive book complimentary gift author thank,This book is a knock-out.,1395014400,60,-0.11764705882352941,-1,0.04950495049504951,0.04950495049504951,0.0,0.15841584158415842,0.06930693069306931,0.25742574257425743,0.07920792079207921,0.019801980198019802,0.0297029702970297,0.1782178217821782,0.10891089108910891
