,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
36,B00KF0URBM,5,rating starsshocking explosive right sexy buckle seat belt one hell ride fill steamy sex dirty talk revelation ton question find suck back andrew hamilton world find practically kick scream end installment pick pretty much exactly volume one end question leave mind end first one answer immediately whitney pretty much hit ground run one something happen every turn page devour story completely get caught andrew aubrey story love way author show change andrew honesty andrew tool crass horny appear zero empathy others like first volume like one change however subtle difference andrew come aubrey still opposite romantic flowery action say otherwise show really care way know wrong love andrew something fact complete jerk yet compel relate understood becomes even obvious run something want think may agree way handle however understood much love andrew love andrew aubrey really connect aubrey one much previous one find bit immature especially way let andrew treat cold stand offish one minute want sleep next hand exactly andrew need mind besides hot sex give answer question linger every answer give another question shock revelation come love first volume love one,Well Worth The Wait,1400371200,224,0.0,0,0.0782608695652174,0.09565217391304348,0.0,0.12173913043478261,0.05217391304347826,0.23478260869565218,0.14782608695652175,0.034782608695652174,0.034782608695652174,0.10434782608695652,0.09565217391304348
195,B00KF0URBM,5,asleep could n't stop read book finish good stalk ebook store part three long good,awesome!!!,1400371200,224,0.0,0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.0,0.0,0.13333333333333333,0.26666666666666666
120,B00KF0URBM,3,entertain quick read funny moment andrew real charmer sarcasm love dirty mouth course williams fantastic writer weave together great tale unfortunately quick abrupt pace book leave time connect character aubrey come bit desperate andrew go bit soft together n't act like believable couple much banter know sexually drive book would balance well depth character study predict end n't take away story n't get wrong great story right five star read regardless look forward third much,"Entertaining, but felt detached.",1400371200,224,0.0,0,0.0,0.03125,0.0,0.09375,0.09375,0.3125,0.15625,0.0625,0.0625,0.09375,0.09375
200,B00KF0URBM,5,amaze amaze amaze author whitney way word relate character aspect one relate andrew love think dominant persona promiscuous way ca n't wait continue read see happens book,Wow,1400371200,224,0.0,0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.0,0.0,0.058823529411764705,0.11764705882352941
205,B00KF0URBM,5,possible whitney get awesome lol anyways book everything expect wait definitely worth want 'm super excite see happen volume 's many aspect leave uncovered oan rd volume unbelievably awesome volume see andrew 's character become develop get see much care aubrey even though n't say good thing must come end whitney sure heck job pull head cloud volume expect find wife andrew 's filthy mouth palpable tension sex scene andrew 's care side highly recommend freak star wouldgive starsificould,SHE DID IT AGAIN!!,1400371200,224,0.0,0,0.022222222222222223,0.044444444444444446,0.0,0.13333333333333333,0.15555555555555556,0.24444444444444444,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.2
41,B00KF0URBM,5,without fail whitney another blockbuster aubrey pull back andrew 's world start show personality andrew beautiful mess mystery aubrey play dangerous game question push button unintentionally 's story wife volume 're start find end receive copy author review,So worth it!,1400371200,224,0.0,0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666
283,B00KF0URBM,4,omg first one still wish one book still good story though,good,1400371200,224,0.0,0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
24,B00KF0URBM,5,'m completely infatuate whitney 's write girl 've get major skill get book two little bit struggle wait wow worth wait book honestly ca n't wait eagerly continue stalk fb page update book suggest everyone read series soooooo hott good job whit f l,More then worth the wait,1400371200,224,0.0,0,0.07692307692307693,0.038461538461538464,0.0,0.15384615384615385,0.038461538461538464,0.23076923076923078,0.19230769230769232,0.038461538461538464,0.0,0.038461538461538464,0.19230769230769232
49,B00KF0URBM,5,bring book hour ago finish ca n't wait next book book seriously hot,I love this series!!!,1400371200,224,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
229,B00KF0URBM,5,first let say wait highly anticipated next installment well worth read amazingly talented author would wait however long need knowledge alone would disappointed quality write always produce freakin mazing second volume deliver hop continuation euphoria panting experience introduce beloved foul mouth andrew sit type want cry try read slow n't want exhilarate feel 'm experience right moment fade time soon devour sigh left volume discovery andrew wife aubrey leave feel betray heartbroken happens next nothing short brilliant buckle prepare entertained oh god disappoint reader advise cold shower panty change might need 'm go say wait next volume might short fingernail lot hair want take drinking sport wait many volume want write fabulous,Enjoying my Andrew high!!! Sooooo worth the wait!!!,1400371200,224,0.0,0,0.047619047619047616,0.06349206349206349,0.0,0.06349206349206349,0.06349206349206349,0.1746031746031746,0.2222222222222222,0.07936507936507936,0.06349206349206349,0.06349206349206349,0.15873015873015872
