asin,overall,reviewText,summary,unixReviewTime
B004E10W0E,4,say pleasantly surprised book make laugh alternately exasperated time character good way sure purchase book series point,Southern Charm,1405296000
B004E10W0E,4,really enjoy book ca n't wait explore series light laughting loud 're look something quick read plus humorous good place start,Murder in Hickville,1352937600
B004E10W0E,5,easy like book interest character lot wry humor n't mind read book steep texas atmosphere 's fun read recommend want read interesting mystery healthy dose humor different kind protagonist,Bubba be Good,1398211200
B004E10W0E,4,perfect example never judge book cover title cover art n't flashy terribly eye catch title hardly promising classy novel discuss best social circle book funny bubba fairly typical good ol ' southern boy born raise texas normalcy end mother operate weekly float poker game claim kill late husband many different way intruder break southern plantation home wear sheet pretend ghost much befalls poor bubba good week line book make laugh loud text daughter share bubba often apologize make excuse mama one point get exasperate orneriness simply reply n't mind 's mad someone drop house sister figure whodunnit end book one piece evidence lead astray suspect someone else first help make book bit sophisticated within plot still remain fairly light humorous read perfect curl relax weekend edit error rampant would n't even attempt guess many get caught story enough able overlook without shake head much book definitely put folder kindle would love read series,Never judge a book by its cover,1365984000
B004E10W0E,5,excite page turner easy get catch action bubba perfect hero,a real good one.,1390867200
B004E10W0E,4,story make want know happen many funny moment shake head family do truly delight,Made me chuckle out loud.,1390780800
B004E10W0E,4,entertain although quite serious look murder mayhem south enjoy broad story broadly draw character love one exactly funny many smile page,A good tall tale,1390435200
B004E10W0E,5,one book n't want put really good reader good wording tell feel like room read mr neville book,What reading,1362182400
B004E10W0E,5,say think go real mystery probably slow witted one wrong take little get start oh goodness get start find self laugh loud something almost never reason get point could n't put kindle price time take read final really guilty figure book really worth,What a book,1306800000
B004E10W0E,5,excelent story keep suspense suspect eliminate every page however frustration solve murder ease quiet humor keep amuse best bubbas mother announce way kill husband actually die heart attack,Humor and Suspense,1390089600
B004E10W0E,4,good book enjoy read funny sometimes corny dialog get book free would disappoint pay look forward read book series,"Fun, easy read",1330646400
B004E10W0E,5,interesting mystery finger point bubba although innocent mostly likely do kill well write plot keep guess real murderer,When all goes wrong,1392854400
B004E10W0E,3,base review n't high expectation actually book pretty good pretty generic mystery still entertain,Bubba,1370736000
B004E10W0E,5,bubba man southern girl really want smart without superior proper manner without snooty love momma dog one woman man without bear fall regularly spot trouble fault course two book series bubba dead woman bubba deadly day christmas fun mystery character quirky enough make smile eagerly await next book,fun,1308355200
B004E10W0E,5,bubba would happy never find dead person especially dead someone know well bevill give reader well understand history snoddy family continue put bubba harm 's way poor bubba might well give key cell bevill 's character believable probably know family friend find bit dismayed turn page find 've read entire book bubba shenanigan keep entertain next series thank goodness bevill keep come,Bubba just can't win...,1356998400
B004E10W0E,4,enjoy book south identify lot southern thing bubba enjoyable good ole boy however bad detective either even though lot humor story keep guess last 'm glad book bubba definitely read,Worth the read,1382140800
B004E10W0E,5,fantastic cast character fun read 've read everything series eagerly await next adventure,"Bubba, not your typical bubba",1386460800
B004E10W0E,4,great story figure entirely end look back clue along way like bubba miss significance editorial slip thing mar book,An interesting read,1391990400
B004E10W0E,5,ca n't believe actually enjoy book n't expect free thought would easy fluff read turn really good little mystery lot humor unexpectedly delightful,Crazy,1393977600
B004E10W0E,4,find grammatical error distract southern ness tad heavy hand ca n't help love bubba 's man put truck mama dog first enjoyable read read story bubba,Not your typical hero,1327190400
B004E10W0E,5,never book would turn page turner sheriff john really get nerve know bubba guilty 'm glad proven end innocent sheriff john admit wrong,Bubba and the Dead Woman,1375574400
B004E10W0E,5,let 's play hide seek see figure go end crush bubba tall good look total easy go hunk plague dead body,Great Read,1384041600
B004E10W0E,5,simply put book hoot n't know soul bear breed south wo n't relate every line every page chuckle worthy good ole bubba beloved dog precious die story mystery figure till end refresh change romance medieval contemporary keep enthralled month 're south mason dixon line know 'll love n't think northerner immune either,Bubba and the Dead Woman,1391904000
B004E10W0E,4,author sense humor infectious find laugh loud phrase action character ca n't say 's best mystery 've ever read say one entertain one 'll probably ready bubba,Bubba,1376524800
B004E10W0E,4,story write humorous style unfortunately appeal good storyline regard bubba frame murder ex fianc eacute e,Different,1390953600
B004E10W0E,4,ok book fun place draw much others character mish mash like feel indifferent 's ok light read,Wish I could rate it 3.5,1394582400
