asin,overall,reviewText,summary,unixReviewTime
B005ME39HU,4,base title know would comedy christmas theme like emotion character display make real even felt tear bit family remember mother wife opt four star felt love story part seem fast soon maybe little force 's doubt novella believe bit longer would better opportunity development love story kyle lexie would recommend story funny although need interaction get love 's appreciated sweet uncomplicated story,A very satisfying story,1354406400
B005ME39HU,4,enjoy book good light hearted xmas read make smile well write good value free one,Bah Humbug,1355875200
B005ME39HU,4,quick read sweet every way character enjoyable timeline bit doubtful however cute story worth time read,cute story,1367884800
B005ME39HU,5,sweet christmas story 've ever read like romance christmas love perfect novel,Perfect,1360454400
B005ME39HU,4,really enjoyed read short due humor family aspects story would good short read fill free time,Excellent Short Funny Read,1372032000
B005ME39HU,3,quality write book overall good enjoy story others mention review really wrap entirely quickly spoiler alert seriously two people meet week later engage married thing bother big way give three star,"A fast, easy and nice read but had to suspend disbelief at the ending",1334448000
B005ME39HU,5,love love story one make happy see people find way well world,Love It,1355961600
B005ME39HU,5,love story quick read love every word believeable story line laugh cry smile throughout whole book read book,Sweetest Romantic read & funny,1348444800
B005ME39HU,3,dont get wrong rating like book story easy follow good book however guess use read little bit dare book little safe,Good Read!!!,1332720000
B005ME39HU,4,read story last year actually love love character likeable believable would love hang lexi kyle family ms horrocks do exceptional job create character 'll definitely walk away care cheer great job heather,Great for a stress reliever during the Christmas chaos,1386028800
B005ME39HU,3,quick cute romance book little predicatable definately fluff easy figure 's go happen next,Cute but a little too predictable,1366588800
B005ME39HU,3,think 's worthy afternoon quick read bit martha stewart bit sassy bit good look man,a bit odd in spots....,1370736000
B005ME39HU,3,time get around read mood read anything christmas would encourage others go n't judge book reading might like,Christmas?,1393200000
B005ME39HU,5,fun romance christmas story recommend book read straight end read heather 's book,Bah Humbug,1361577600
B005ME39HU,5,highly recommend story fun full wonderful character 're hop get together end laugh loud line,Fast and fun Christmas treat,1356307200
B005ME39HU,5,love way write story leave thing imagination great storyline way short leave want good thing,awesome,1359936000
B005ME39HU,5,read book twice funny short sweet would summarize plot story really hit home meaning christmas family laughter fun,Funny!!!,1356652800
B005ME39HU,4,good short novella christmas let go past love really recommend whenever anyone mood christmas,Christmas!,1352419200
B005ME39HU,3,cute short holiday story invovles mother two kidsand recluse neighbor befriend neighbor andlearns way love kindness thathelps find christmas spirit,a cute short,1367107200
B005ME39HU,5,delightful fast christmas read even though short romance happen quickly felt genuine force 'll lookout author,Good clean Christmas fun,1353801600
B005ME39HU,3,christmasy story d'oh name might give away fast easy read talk move fast nice quick read,Christmasy,1363910400
B005ME39HU,4,fun read christmas time like story line enjoy set love little fast believable,"Cute, light reading",1359504000
B005ME39HU,4,although book bit predictable duh romantic comedy enjoyable read like character story fact lexi single mother like big roll two child play story also fun bonus book take place salt lake city area live download book free amazon smart move introduce author read would like read although christmast would recommend book others would like light hearted quick read,Not so Bah at all,1326672000
B005ME39HU,2,main reason get book free thank god think cover really cute yeah realize 's best incentive whatever lol whole story fell flat heroine young version martha stewart 's supposedly much likable someone people easily relate hero author kid adventure book damage death love one oh yeah writer block initial meeting needless say go well without give anything away think book blah everything happen fast totally miss fell love think maybe 'd miss page two mistake something scroll back kindle realize n't wham bam unrealistic especially single mother close man unbelievable implausible enough word describe fast everything happen like author set amount page write n't want write maybe relationship call flesh several chapter write end would n't seem tacked force would recommend book,Not great,1348272000
B005ME39HU,4,cute wish actual full length story short sweet treat good story take little time,"Bah, Humbug!",1362355200
B005ME39HU,5,beautiful christmas story leave warm happy 's christmas 'm definitely go recommend friend,"Warm, happy and very christmas",1384992000
