asin,overall,reviewText,summary,unixReviewTime
B007R5YDYA,5,love leather royal purple cover purchase kindle perfect fit highly recommend,Kindle Cover,1373414400
B007R5YDYA,5,great protection easy access kindle 's screen use much bulk extra weight would definitely recommend,Love it,1388188800
B007R5YDYA,5,well make color great neutral protects kindle really well would recommend,Well made cover,1381449600
B007R5YDYA,5,like perfect glove first get paperwhite nd gen kindle long felt small hand could barely get grip cover give grip protection need absolute must,perfect,1389052800
B007R5YDYA,4,cover fit wonderful one wish little change would place way would hold stylus would perfect,Very Nice!,1371427200
B007R5YDYA,5,excite cover reserve reserved person love clean neat look would definitely recommend cover,Love this cover,1374537600
B007R5YDYA,4,cover paper white fit perfect read bed every night n't disturb husband like size weight paper white perfect size purse take everywhere wait appointment botherme long checkout counter another place read big gripe page turn top menu bar computer kindle ipad ipod iphone paper white,PERSIMMON PRETTY PERFECT,1369267200
B007R5YDYA,5,cover great kindle paperwhite fit nice tight cover fall shift around love put paperwhite sleep close yes try close real slow order see exactly put kindle sleep lol like magnetic strip hold close love way feel hand slippery sturdy enough feel comfortable hand look great love come purple feel kindle nicely protected inside cover would feel comfortable take kindle along purse cover,Perfect!,1356393600
B007R5YDYA,5,love cover fit kindle perfectly magnet work perfect fact closing cover put sleep mode definitely help save battery life two issue one sturdy solid box case 'm always afraid screen could still damage consider n't make otterboxes kindle paperwhite far best could find ok issue cover n't think could get want say fit perfectly mean perfectly 's go fall accidentally anything n't seem easy way get 'm ok since n't plan take 's permanent case,Review of Amazon Kindle Paperwhite Leather Cover,1368144000
B007R5YDYA,4,paperwhite leather cover work look good protects device wishthat would come color,What's not to like,1365724800
B007R5YDYA,5,complaint cover someone 's n't fit must get someone amazon,Great Cover,1399420800
B007R5YDYA,3,look nice love look feel cover even though wanted color black settle look classy love wake feature emboss engrave kindle inside metal also love fit snugly wo n't fall first kindle upgraded husband take get knock cover love get loose fell ahhh still careful one hence desire get nicer well fit cover beware tough get though put n't love make heavy enough make wonder read one hand long time arm would get fatigue n't take cover ever type reader also make ca n't hold comfortably one hand reach page turn area 'm ' female normal size hand finger n't reach comfortably 'm torn think 's nice definitely make heavy awkward hold end think benefit protective hard cover sleep wake feature mold perfection fit outweigh bad,I love and hate it!,1357171200
B007R5YDYA,5,love cover lightweight n't make kindle heavy color nice also get purple one drop kindle time seem protect quite well happy,Very nice,1370304000
B007R5YDYA,5,absolutely thrilled purchase everything say could n't happier good protection paper white kindle also love would recommend cover anyone,Great Kindle Cover,1403222400
B007R5YDYA,5,spot kindle paperwhite anywhere due persimmon cover feel leather cover keep kindle paperwhite cleaner safer cover open like book fold behind kindle n't worry unneccessary fingerprint dirt damage love kindle paperwhite feel cover necessary read much thanks amazon,Great Product!,1362528000
B007R5YDYA,5,love work great protects kindle face well great quality material use make great value,Kindle Leather cover,1359936000
B007R5YDYA,5,save kinkle well worth money one wife necessary past history thank,Love it,1380672000
B007R5YDYA,5,leave amazon create awesome product also dress beautifully cover first class way kindle paperwhite must get cover particular saddle tan color classy black also beautiful 're color beautiful color buy pink also girl never many dress,Very classic design!,1384300800
B007R5YDYA,5,husband purchase paper white christmas upgrade kindle keyboard 've year case improvement one last kindle securely hold kindle place kindle n't always turn open often color fantastic far hold well,Love love love,1391558400
B007R5YDYA,4,cover fit kindle paperwhite great love one wear get another one thank,kindle paperwhite cover,1359331200
B007R5YDYA,5,case great much well previous kindle cover first generation kindle like feature wake sleep kindle open closing kindle secure case envelop device hold tightly thing would change add pocket inside cover otherwise great case,I love this case!,1391299200
B007R5YDYA,5,case worth money yeah tell quality product superb absolutely recommend product anyone kindle paperwhite,EXCELLENT LEATHER CASE,1378944000
B007R5YDYA,5,purchase cover paper white look protection harm everyday life n't ' even aware majically turn open wonderful complement fantastic reading device,what a fantastic device!,1387670400
B007R5YDYA,3,struggle abit initially get kindle cover look great give good alround protection itthought bit pricey 'm sure one cheap cover would do hey leather good qualityproduct,Kindle leather cover in a nice colour.,1354924800
B007R5YDYA,3,'s true kindle fit paperwhite cover close kindle go sleep mode gradually use battery unless kindle turn button switch bottom,Adequate protection,1356393600
B007R5YDYA,5,fit perfectly love rich purple color much interesting black cover previous kindle,Great Color,1379894400
B007R5YDYA,5,little cover wonderful slim protects without add bulk weight adore feature magnetic switch protects tablet purse seem good material attractive think worth cost cover junky hard please really like one,"Low bulk, terrific cover.",1350086400
B007R5YDYA,5,spent almost much time cover buy wonder kindle buy 'm happy paperwhite think cover cherry top hold paperwhite beautifully make feel really protect love easy use magnetic clasp gently hold close bag spring easily open fold back completely allow easy hold book read last kindle crack one many drop completely fault cover feel far protective paperwhite non add option open cover page last read appear like real book perfect,pefect!,1361836800
B007R5YDYA,3,expect price need ok,nice,1398816000
B007R5YDYA,5,fit device perfectly lightweight love sleep wake function happy product,Perfect Fit,1400198400
B007R5YDYA,5,bought persimmon look sleek fit paperwhite like dream leather feel nice hand way put kindle sleep great selling point 's even little cutout bottom charge device without take leather cover thing n't expensive 'd get one color coordinate outfit,Really sharp looking cover,1363824000
B007R5YDYA,5,n't already guess love color orange cover perfect kindle paperwhite well make durable,Perfect for this orangeholic,1374451200
B007R5YDYA,5,kindles cover however first amazon kindle cover love light easy hold lay love put kindle sleep wake glad get pricey yes worth money,Love,1370044800
B007R5YDYA,5,rest kindle product cover great design love feature tie open closing kindle,It is functional and beautiful,1393372800
B007R5YDYA,5,glad buy cover paperwhite look great give complete protection quite sturdy read table easily stand like would book paperwhite fit perfectly actually look sewn,Great cover.,1397606400
B007R5YDYA,5,kindle without cover flat screen need cover make usable one embossed finish make easy hold plus cause kindle turn open close save couple second push button,Expensive but necessary.,1390089600
B007R5YDYA,5,nice cover use kindle paperwhite give feel protection kindle close kindle sleep open kindle awakes like sturdiness snugness give kindle place n't worry fit onto hardware book cover love,Great Book Cover worth the price,1381104000
B007R5YDYA,5,cover fit kindle paperwhite perfectly comfortable hold close magnetic clasp beautiful well cover paperwhite perfect size fit purse large pocket paperwhite kindle great like read bed fact read little even room light reason buy like good regular kindle reason small lighter therefore easy carry playing word game easier touch screen kid buy first kindle buy paperwhite consider money well spend,Great Buy!,1356912000
B007R5YDYA,5,buy cover protect new paperwhite really like paper white fully visible use button charge easily may easy remove n't point also like shut cover make easily go sleep,Good protection,1357257600
B007R5YDYA,4,second kindle touch paperwhite cover cover work like smart cover ipad open cover paperwhite turn turn close simple elegant 's great cover provide basic protection essential function make kindle much easy work fumble switch walk much reading do walk cover make paperwhite much easy use save battery give desire protection,it does the job,1355270400
B007R5YDYA,5,torn pay much cover new paperwhite kindle travel far distance lot know tsa occasionally handle thing accustom old kindle elastic band cover think fine new model provide much protection actually seal kindle inside cover lose coin purse sharp pen tip n't get wedge screen rubber band cover cover fold back around reader may hold one hand finally feel weight material use manufacture cover light enough barely notice difference kindle cover would highly recommend anyone paperwhite purchase product,Paperwhite Cover works,1360108800
B007R5YDYA,5,appreciate closing cover put paperwhite sleep would purchase cover second kindle paperwhite recommend product,Great cover,1367280000
B007R5YDYA,5,best cover purchase different kind one keep would buy,Best Cover,1385942400
B007R5YDYA,5,love automatic wake feature fit paperwhite like glove happy kindle cover love cheerful orange persimmon color recommend cover,Works Great!,1359590400
B007R5YDYA,5,case protect kindle well nice sturdy cover soft interior protect screen kindle also wake feature immediately pick leave nice feature great case worth money also color great,Great case,1390003200
B007R5YDYA,5,great cover kindle paperwhite love purple leather neat smart look perfect fit happy purchase,PERFECT COVER,1389052800
B007R5YDYA,5,love almost everything cover first thing get spray shoe protectant occasion 'm go hold wash hand realistic take care 's month case still look brand new purple one 's gorgeous deep royal purple texture pattern leather nice create interest stitch around edge make even attractive magnet closure powerful enough keep cover close device jostle around inside handbag side front cover seem tad flimsy 's held far best thing cover kindle turn open turn close thought feature would big deal help simulate expected reading experience paperback book n't turn open cover kindle wonderful,Beautiful and convenient,1352073600
B007R5YDYA,5,fit well easy put choice color offer attractive also say,design is unique and well done,1387065600
B007R5YDYA,4,work great pricey luckily pay half price black case sale want red one though,works great,1359849600
B007R5YDYA,5,buy christmas niece love protect kindle well great product performs expect,Paperwhite Kindle cover,1390089600
B007R5YDYA,5,didnt realise buy paperwhite leather cover flap feature turn kindle closed highly recommend,Better than I expected,1370822400
B007R5YDYA,5,exactly look love love nice look right would recommend everyone,A great case!,1397260800
B007R5YDYA,5,cover well expect paperwhite secure cover automatic cover open close bonus,Perfect fit,1367280000
B007R5YDYA,5,first order look like nice western style cover happy order leather cover much happy much plain cover first one cover turn kindle open closing cover really like feature also cover sturdy good make well protection important carry lot frame solid kindle pop cover frame much good plain cover,A must for your Kindle,1387497600
B007R5YDYA,5,husband sit first kindle good go hard cover least kindle fight chance,Better than soft,1378512000
B007R5YDYA,5,cover great meet need great value price nice able select another color black would definitely recommend kindle always easy find,Great cover,1387411200
B007R5YDYA,4,replace wife kindle touch new paperwhite also cover new version improvement small add nice cover magnetic latch positive exterior slightly pebbled opposed former one smooth surface finally purple color one bit please prior one also purple nice case,Very nice cover,1394150400
B007R5YDYA,5,perfect light weight thin like fact cover fold way back 's way reading,It's perfect,1401840000
B007R5YDYA,2,week find really awkward set procedure difficult question regard set clear soon get stuck take hour chat amazon operative well do say get go big problem catagorising book old kindle create catagories press menu give add remove option move book seamlessly one another thing n't work like remove book completely cloud storage really n't see advance kindle progress read constantly give screen accidental touch maybe side thumb whilst hold device mean manner stuff pop screen get rid call clumsy think device would better edge centimetre maybe sensitive touch screen require positive finger movement operate still get use reading page clear like open shut operation cover,It's awkward!,1398643200
B007R5YDYA,5,lightweight always know kindle sleep great protection love color many great color make hard choose,I love it,1379462400
B007R5YDYA,5,work great new kindle paperwhite love magnetic closure keep kindle safe drop great protection kindle,great cover,1388016000
B007R5YDYA,3,cover make new kindle feel heavier orginal kindle w keyboard leave hand move cover way time need push button turn page current book reading hop case would durable light weight cover would actually fold back behind kindle way use look like sturdy enough protect screen oh well live learn,The Cover doesn't Fit Everyone,1351814400
B007R5YDYA,1,hat heavy cumbersome difficulty hold use thin microfiber cleaning cloth cover front weigh nothing,"Amazon Kindle Paperwhite Leather Cover, Onyx Black",1397433600
B007R5YDYA,5,perfect choice paperwhite buy several option decide simplest well design choice cover adequate ugly n't add much bulk like cover fold completely back single hand reading,Love,1370390400
B007R5YDYA,5,love case 's well make hold device perfectly without strap like way completely enclose device also love fact simply open close case automatically turn unit would strongly suggest anyone buying paperwhite also pick case 'm glad,Works great.,1353110400
B007R5YDYA,4,cover fit snugly puts kindle sleep cover close appear protect kindle drop feel leather little harsh use leather little soft,The cover works as advertized,1366502400
B007R5YDYA,5,one nice look case kindle soft feel great read book love magnetic close also turn kindle,Beautiful Case For Paperwhite,1383177600
B007R5YDYA,5,love cover n't know automatically turn kindle open love feature leather quality top rate,Great cover,1394755200
B007R5YDYA,4,'ve own amazon offer kindle cover one main kindle cover touch like worked etc 's cover usually slightly overly expensive debate order paperwhite cover put pre order figure 'd check barely even read description honestly order persimmon color short lead time yeah know definite whatever order right paperwhite special offer turn read little cover paperwhite previous receive mine pop kindle cover open cover n't come automatically like expect present screen need swipe 's annoying pay extra special offer turn work like expect really awesome actually open brings right button push screen swipe require outside textured feel like good grip touch feel sturdy like color pretty well worried would bright orange 's nice color wo n't get lose sea black cover tech item lay around house auto open make well worth price opinion 'm extremely happy purchase recommend paperwhite owner course,Awesome cover -- if you don't use Special Offers,1349568000
B007R5YDYA,5,really like case 's streamline paperwhite fit perfectly favorite feature fact shut close immediately come life open cover 's also lightweight n't add much heft paperwhite,Perfect case,1387584000
B007R5YDYA,5,exactly want bulky kindle fit snug secure open kindle go one swipe reading love,It is perfect...,1378944000
B007R5YDYA,5,cover build light kindle keyboard kk happy also cover add weight kk would like case cover kindle paperwhite kp add little weight much 's great open cover kp wake right n't carry around lot know protect bump drop stuck purse take time protected kp fine kp sit snugly cover without fastener hook etc like feel lot like 'm hold book hold kp normally read top cover leave side open bent back 's behind kp 's quite comfortable hold like 's cover would recommend,Great little cover,1352073600
