asin,overall,reviewText,summary,unixReviewTime
B008IL48BK,5,really enjoy book bring whole new twist common fairy tale ca n't wait read others,I really enjoyed this book,1405382400
B008IL48BK,5,'ve read last series say love voice description alone make think marie neverland personally like men tough little bad need thing people love female counterpart series tough stick well well aim snark want find good entertaining series,"Fairytales, action, and snark??",1371513600
B008IL48BK,5,unsure book turn amazingly fun passionate read love certain level angst romance deliver ca n't wait read author,Great spin on an old tale,1366588800
B008IL48BK,5,novel true gem give fairy tale like long ago find mad hatter truly refresh read short time still yearn read way marie hall weave tale alice hatter seem lasso imagination hold willingly hostage hold great affinity kingdom series bad five may danika 's fae magic bless heart mind fairy godmother may happy reading,Mad for Her Hatter,1385337600
B008IL48BK,5,ca n't believe good short keep skipping month wish long amaze book keep interested emotionally involved heart ache character,Wow,1376265600
B008IL48BK,4,alice alice story know fact grand daughter famous alice know storybook real story original alice much different lead mad hatter fairy set help hatter meet match story come way story alice wonderland know book brilliant premise enjoy good read fast pace alice great character easy bond get great history character growth love hatter way hatter well mad well developed character world create word author amaze always enjoy author take story know alice wonderland spin something 'm intrigued series much already finish nd book review post soon book well book short felt like novella full length book recommend book mature audience everything might want great fairy tale escape,Her Mad Hatter by Marie Hall,1350432000
B008IL48BK,5,love read alice wonderland since little girl love grown tale side try 'll love,I go mad for hatter.,1388275200
B008IL48BK,5,marie disappoint one favs excite book would imagine hatter would recommend kingdom read regret,what a wonder!,1396569600
B008IL48BK,5,first n't like story line review sway 'm glad marie hall good job mad hatter 's character see madness eye adventure wonderland let forget alice include bakery whose soul product influence alice wonderland make want try sexy mad hatter sign story entertain begin finish buy rest series right away,Surprising,1364256000
B008IL48BK,3,time book little difficult follow plot quite stretch hero quite delectable entice,Ok,1369958400
B008IL48BK,4,hmmm well let say definitely disney novel would totally jump hatter mad bone love,awesome!,1386806400
B008IL48BK,4,enjoy hall tie many fairy tale ton awesome imagery love felt fun read serious romance th plot simple twist good great,Fun read...,1386115200
B008IL48BK,5,want fairy tale interest turn book read alice grow hatter portray sexy crazy man book also make think alice wonderland story something like happen enjoy book may read kingdom book future,I enjoyed this book,1387670400
B008IL48BK,5,love book 've always love alice wonderland thrill grown ups version wish one favorite,Great,1365724800
B008IL48BK,5,love story mad hatter alice feel feel sense love really nice change original,I'd read it again and again,1351036800
B008IL48BK,4,love version alice wonderland mad hatter awesomely write character favourite book far,I am in love with mad hatter,1378598400
B008IL48BK,3,'m new genre even though story line good part felt almost embarrass read fun see one childhood favorites retold different way still reference original,"I liked it, but was a little uncomfortable",1370131200
B008IL48BK,3,interest story alice wonderland twist story unusual version alice wonderland give writer credit idea story hold interest wait come back day,Romance,1366588800
B008IL48BK,4,really n't think would like book 'm much alice fan book free pleasantly surprised find book really good book manage surprise keep entertain would definitely recommend book,Suprisingly good,1362441600
B008IL48BK,5,really enjoyed series first read go get rest see one get goal great book,Great Series,1360281600
B008IL48BK,4,'ve love alice wonderland since little girl put nice little twist story know revive love story adult fashion like think grow version,Nice little twist,1382832000
B008IL48BK,5,love wonderful fantasy piece almost could tell dream reality excellent,Mad hatter,1355961600
