asin,overall,reviewText,summary,unixReviewTime
B0095JX7F2,5,good story big girl totally relate character insecurity big girl really well,Good sex!,1362787200
B0095JX7F2,4,really enjoyed read anna chase character great love anna big girl issue bring chase show interest rock star always bring certain element book add little heat spice love great start interest series,Love the story!,1377907200
B0095JX7F2,1,ugh hated literature stop half way scarred life eww,Horrible,1360195200
B0095JX7F2,4,laugh loud read keep smile throughout story well write kept attention like female lead empower woman establish life ca n't appreciate guy accepts woman may market read series time tell wish list come recommendation level high,This book made me chuckle.,1371600000
B0095JX7F2,4,n't know expect saw book soon start reading could n't put entertain funny maybe 'm silly really enjoy definitely read rest series get ta find happen next,Big girls do it better,1365033600
B0095JX7F2,4,really wish long big girl appreciate love show big woman proud say husband well build guy athletic lover curve would love whole novel dedicate big girl,Big Girls Do It Better,1367020800
B0095JX7F2,5,buy today finish new fan story cbs morning catch eye think book fun good story look forward story buy book love,Awesome,1372204800
B0095JX7F2,5,happy finally find someone write book lady arent size lol funny go work talk anna remind let others know book lol,thank you,1365379200
B0095JX7F2,4,'s often heroine size eighteen short story nice change nice way tease buy next book see happen chase anna,Nice short story,1377561600
B0095JX7F2,5,sweet good see n't jerk end recommend friend good book,Great book,1372550400
B0095JX7F2,5,love book get free soon get do reading buy rest story,love it,1387152000
B0095JX7F2,5,laugh loud funny super hot much fun read big girl shot fun read big girl rock,Awesome!!!!,1372377600
B0095JX7F2,3,conflict reading book could totally relate character lot way sure woman society since none u ever satisfy body find fault either small large way part wish writer like one would one stop beating reader harsh over tone issue rather allow lead character dignity jump bed ever ask get make feel sense power hence dress style size talk unhealthy thing time smoke drink eat chase really seem want relationship ca n't seem let guard allow hurt many time short story without erotica self loathing could stand development come come feel way get erotica monkey sex yet n't know sometimes romantic erotica good develop read see would depict bbw since many one erotica two do positive empower light overall enjoyed story story behind erotica since ca n't trust word bondage ok,Big Girls Do It Better,1347753600
B0095JX7F2,3,like good read short fun female character strong realistic wait read next one,Good read,1358553600
B0095JX7F2,5,love find new author great story tell love even author appeal big woman world exactly jasinda wild start series great book,Vavoom!,1352332800
B0095JX7F2,2,wish story move smoother kind place read author like concept need give another chance impress,not what I expected,1378857600
B0095JX7F2,1,well chose book without read boy shock personal choice wrong book fault mine author 's like erotic book maybe work,erotic Stories of supposed romance?????,1384819200
B0095JX7F2,5,time someone book thick girl love tired slim sexy u big girl well,Good read,1356307200
B0095JX7F2,5,honestly love character series say enough entertain,Characters,1391212800
B0095JX7F2,5,absolutely love book character awesome get good little story goin 's must read enjoy type book,It had me at the title...,1398729600
B0095JX7F2,5,love book rare u find book large woman 's nice know even large woman desirable,Smashing read,1373760000
B0095JX7F2,5,really enjoyed read look forward read rest series big girl able relate character,Wow,1378598400
B0095JX7F2,2,really want like book large average n't ring true character n't seem fully develop two dimensional nothing really new different lead lady n't size,Very shallow characters,1377216000
B0095JX7F2,5,must read beauty love size chemistry destiny confidence sexy need project confidence want attract right kind guy least fake,Hot,1392163200
B0095JX7F2,3,okay story sort put character harp size way much yes 's large like enjoy n't try ruin put much,Quick read,1375660800
B0095JX7F2,4,cutely write kind make smile read engage narrative,would recom'd,1385424000
B0095JX7F2,4,short well write enjoy story wait read jasinda,Short but good,1368921600
B0095JX7F2,5,n't expect book offer story want leading role exotic adventure break friend,Sweet,1377561600
B0095JX7F2,4,love little story fun read ca n't wait big girl fun series,Fun read!,1376956800
B0095JX7F2,5,short good see great future sing together name would great feisty rock star,Hooray for big girls,1358035200
B0095JX7F2,5,great book love first word last anna little fluffy side meet chase hot guy second see refresh read book character n't skinny perfect boob long legs emotion real let 's say thing get little hot raunchy hot highly recommend book,A must read,1372464000
B0095JX7F2,2,story decent focus much size unworthiness take away sexiness excite begin,Mediocre,1370908800
B0095JX7F2,5,book freak amazing could n't put book best graphic please make,Omg!!,1376438400
B0095JX7F2,5,book show everyone size zero love like say big girl need love,Big Girls Do It Better,1359331200
B0095JX7F2,5,book lady put size show men like curve anna cute sexy hot sensual delicious reality check everyone,Get in a cold shower!!,1390089600
B0095JX7F2,3,bad think anyone size consider big know lot lady look amaze n't find many story sad,okay,1373500800
B0095JX7F2,1,short look installment seem like ultimately like others ok,Ok,1385424000
B0095JX7F2,5,enjoy reading book big girl well big girl completly understood anna imposible hot guy like chase would something really enjoyed reading chase anna wish read love start finish,Loved It!!!,1347321600
B0095JX7F2,3,okay different big girl n't like enough finish series,it was okay. It was different.,1362355200
B0095JX7F2,5,book well worth print mind blow sexual experience able take away add reality surreal utterly great experience sexual kuddos praise author book thank know create gratify sexual moment without make trashy something would definately recommend many friend well read nothing wrong size confident individual rest follow nice know guy like like fact rather self conscience begin quickly realize guy genuine feeling towards think due size thing want well guys sex wasnt true,intriguing,1347235200
B0095JX7F2,3,love concept grabbed 's free plus sophia jones write kinda get short erotic haha also would n't want see another point view different type usual stick like say concept sound great bit different start read saw n't go big fan first strange least cause n't really none situation happen mean main gal bump hottie move sits booth call hottie ask sit booth say maybe couple word already try make blush squirm seat give know smirk like already know gots wrap around finger really happen like get lust end author make reader n't see saw one night stand maybe 's n't fall head heel n't see like way author saw talk sentence leave go car 's backing parking space show surprisingly pull open door um stranger danger anyone turn like seriously would show 's creep n't even care hottie want give number week later find together really n't like main gal attitude think badly see guy want get pant cause think 's easy cause weight size like real guy douche maybe sorta attitude think 're easy hottie find take break think want hand job nothing else give nice steamy one hate 's assumes 's 's maybe 's guy problem 's actually problem douche come way cause never give good guy chance hottie want show 's want see sex story actually story line series beyond 's enough depth character series really sex sex hot great way make one blush n't get guy want make need make sure pleasure come many time n't see go story guy want girl need real intimate connection n't see two really n't felt like story fantasy anything else overall want erotic hot steamy sex short read want depth real connection two character look somewhere else go continue series shrug maybe sequel free like say n't really see much story ca n't believe series mean end completely unbelievable eye like say 've never situation like maybe happen people honestly ca n't see oh another note guy sometimes come harsh word touch squeeze girl arm couple time hard whenever talk badly got passionate tell wrong grip would get tight either guy chubby side get shape get bit aggressive 's try tell 's beautiful cause 's side world 's creep really douche nice guy exterior story n't feel right,I felt like this story was more of a fantasy than anything else....,1371340800
B0095JX7F2,5,omg first love book big frame woman skinny minnie 's love worship hop start realize cant wait next one hot sex scene p,Wonderful!,1346976000
B0095JX7F2,5,meet anna spunky gutsy dj n't take crap anyone regular sized gal along come chase hot rock singer go way win anna 's heart however anna skeptical would rock god want could skinny model look woman want night kinky passion leave anna breathless end soon musical opportunity take chase away sexy read regular girl deserves get attention hot guy like rest u book series definite must ebook collection,Sexy on a larger scale....,1351641600
B0095JX7F2,5,get past grammar error jasinda wild great job portray something many people thumb nose many full figure woman n't confidence need make enjoy life n't know many u men love full figure would n't way 's great anna acknowledge accepts size thrives ca n't wait read rest series 's true big girl well,Want more of this,1378339200
B0095JX7F2,4,interest amuse sometimes degrade large person think good read felt good read,Interesting,1387670400
B0095JX7F2,4,book sooo steamy haha pretty good descriptive word decent story line pretty short read worth read sure,Book Review,1383264000
B0095JX7F2,4,book free amazon com time blog 's publish date book big girl well big girl series author jasinda wilderrating x explicit sexual content bookshelf bbw erotica fiction jasinda wilder rock star romance singersetting urban settingcharacters anna devine chase delany jeffsynopsis two thing get trouble food mouth 's started chase first food mouth wilder 's first book big girl series romp anna devine 's affair sexy rocker chase delany karaoke dj dive bar call dive anna strike literally stumble tall dark handsome chase ca n't understand chase want sit near bar heck seem interested actually take joke would guy hot chase interested bbw like anna could really review like wilder 's big girl well portray anna think strong bbw would internally 's self doubt self efface respectable bbw internally u fat girl little fragile externally anna strong warrior wear bustier sexy shirt love chase hope n't turn pansy wreck anna 's heart later book series opinion book get starsa great read 'd recommend friend,Big Girls ... ROCK!,1358208000
B0095JX7F2,5,glad see something like n't base model stick thin people great write style 'm look forward read rest series,LOVED this can't wait to read the rest,1357689600
B0095JX7F2,2,like romance novels n't like novel give description like 'm read porn like descriptive sex scene like book,"Details, Details",1402012800
B0095JX7F2,5,n't first book jasinda wilder read certainly last expressive erotic style book leave longing,Love Jasinda Wilder,1358899200
B0095JX7F2,3,quick sexy read totally relate anna read next book follow story,Quick and sexy!,1363910400
B0095JX7F2,5,expect awesome thank big girl sand make feel good body,Sexy,1399161600
B0095JX7F2,4,really liked reading could n't put ca n't wait read book,good,1348358400
B0095JX7F2,4,nice see realistic story character perfect specimen really enjoy book look forward next installment,Weight to go!,1377043200
B0095JX7F2,5,sometimes 's size package package hold make best impact big girl may well much love sexiness skinny,Pick Me up Story,1357948800
B0095JX7F2,5,great book get sense go look kind book sexual quick read,Erotic,1372291200
B0095JX7F2,5,typical big girl meet hot guy posibilities oh hot attraction love ill keep reading yup,COULDNT PUT IT DOWN!,1349740800
B0095JX7F2,5,think extraordinary author amazing writer jasinda come mind amazing way captivate story story feel good everyone way show everyone anything possible need realize perfect matter story bring journey ca n't stop go read recommend story anyone hot sexy sweet sexy story want end ever,I LOVE JASINDA,1369872000
B0095JX7F2,5,pick book whim three u work reading time laugh carry book enjoy quick read ca n't wait read fluffy gal understand anna come confident clothes one thing whole story throw hot man picture yeah think jacinda nail thank look forward read,love for the big girls!,1373068800
B0095JX7F2,5,nice little read really set big confident girl feel although anna moment call 's real u would feel dare say sometimes 's worth read even end felt little confident five star,Short but Awesome,1380931200
B0095JX7F2,5,ashley chaffeei think fabulous story would recommend someone else ask good book read summer jasinda wilder great writer ever,My review of Big Girls Do It Better,1377475200
B0095JX7F2,5,short read accomplish couple thing make instant fan jasinda wilder want read get goin ' good way haha 'm big girl definitely appreciate story look forward read series,"Short, but sweet and very sexy, rawr! :)",1367971200
B0095JX7F2,5,hot flash read erotic story spark fly two share stage song,It's a scorcher!,1378166400
B0095JX7F2,4,explicit erotic novella adult contain super hot one one sex two great character book big girl well anna big girl year old wear size honestly n't believe size big woman however anna feel big size woman big gilrs hotter book anna meet chase musician hot good look wear leather pant hot man also anna 's dj partner friend crush anna however never make known chase anna world wind one night hook day one meeting anna nickname mr sexypants strong connection two sex ask omg steamy blaze erotic wild sex truly one best write sex scene 've read extremely well write love anna amaze strong witt bad as character due size attitude n't mess 'll kick butt day get addict right away basically story hot man attract heavy set woman would n't call anna big anna find hard believe someone like would fall girl like big girl need lovin ' story end one hot long steamy night chase get phone call move new york music oh disappointing anna maybe book show big woman really well like every woman series wo n't disappoint,Hot and sexy!,1361404800
B0095JX7F2,3,first erotic novel like curvy character surprise length novel realize part series n't enjoy series genre time read entire series spend enough book worth,"too short, too expensive",1367452800
B0095JX7F2,5,quick read buy show even big girl find sexy hunky men get ta finish series see exactly happen really want chase,Big Girls Do It Better (Erotic Romance) Book 1,1366848000
B0095JX7F2,5,wonderful sensual story compassion 'm big anna little girl either although 'm married man believe goddess tell renew confidence read book well write,Hot! Hot! Hot!,1375228800
B0095JX7F2,5,start think subject heading say read pas 's got hook book 're look romance sex find right place,Hot and Sexy Sexy Sexy,1402358400
B0095JX7F2,4,happy feel good story men love woman ca n't understand n't like woman package truly enjoyed simple direct story,really cute,1391817600
B0095JX7F2,5,book short awesome big girl think like anna book meet husband feel good naked,Big Girls Do It Better,1369958400
B0095JX7F2,5,supremely surprised erotic story although short ca n't wait sequel big girl always love body sadden anna 's low self esteem however thrilled chase make feel great erotic romance,Wow!,1393113600
B0095JX7F2,5,really enjoy book good page turn book love character n't super thin model type get hot guy,Big Girls,1388880000
B0095JX7F2,4,breath fresh air read sassy novella feature heroine stick figure sexy rocker adore annoy anna go stereotype size two easy heaven forbid someone like see assume desperate impressed chase show error way,Four BIG stars,1363564800
B0095JX7F2,4,really good mini 'series ' wait th come story keep get well new book,Awesome!!,1348617600
B0095JX7F2,5,fun read nice story go keep away youngster enjoy,Explicit sex,1376524800
B0095JX7F2,4,love short story character fun sexy n't miss jasinda fun author always,Super cute,1366934400
B0095JX7F2,1,story plot sex graphic leave thing imagination please thirty minute waste,No plot,1375056000
B0095JX7F2,4,easy read probably read train bus easy wk anna big girl believe chase one thing well ok pleasantly surprise,A quick read.,1376352000
B0095JX7F2,3,good short end abruptly n't like chick keep doubt understand 's hard believe one night stand would 've think thought,Decent read,1366588800
B0095JX7F2,5,love book show big girl think come certain thing nail read many book many lol never one read book could relate 's real book read yes big girl well lol love,Amazing!,1373068800
B0095JX7F2,5,story completely identify body issue great job m wilder buy next one,Omg,1368403200
B0095JX7F2,4,book give big girl n't see sexy chase prove men like little cushion great jobi ca n't wait read rest,Hurry for the big girls,1357776000
B0095JX7F2,4,like book one series read read others nice story find self confidence would highly recommend,I like it,1385596800
B0095JX7F2,3,story big girl hot guy standard day get past weight thing make character come alive want studs story want read anna accomplish weight issue discover lust pleasure trust guy good luck,Exhausted and I need a cigarette!,1358553600
B0095JX7F2,3,see ms wilder 's work never dabble unconventional rock star see beyond size anna believe nice begin definitely willing interested go sequel,Great start!,1377648000
B0095JX7F2,4,could n't put wanted see go happen n't disappointed love end romantic,Kept me entertained,1363824000
B0095JX7F2,4,actually really liked book never mind stereotypical big girl theme 'm big girl well fun n't bother show even big girl hot man room even break sweat lol great read,Big Girls Rock!,1357689600
B0095JX7F2,5,quick read hot nice see really attractive guy treat big girl deserves treat ca n't wait read next one thanks much,Loved this book,1395619200
B0095JX7F2,2,n't thrill along partial story hate heroine self esteem issue really take much short book story would much well room motivation action,Wished it was better,1369440000
B0095JX7F2,4,feel lot like main character book say several thing make go wow chunky girl really think great sexy little novella empowerment self confidence beautiful curvy woman,hit close to home,1372809600
B0095JX7F2,5,way go jasinda great read love story plus sized woman big girl need good loving wonderful story,Big girls do it better,1370044800
B0095JX7F2,4,love need morethis could start something beautifulbig girl everywhere need need,More...I want more,1391904000
B0095JX7F2,5,thoroughly enjoy reading book girl gut go guy n't expect win good end,Sexy and fun,1399161600
B0095JX7F2,4,n't think great series want see happen next buy course n't see boxed set later n't want wonder end n't start really liked firt novella way chase make anna feel build self esteem help realize beautiful well do rest short story good sexy good read course end abrupt kind hook right book,"Warning if you start, you have to continue...",1358208000
B0095JX7F2,5,book make want scream top lung 'm beautiful 'm worth 'm big girl 've never felt like men look u oh refresh book plus 's free n't download yet nd book,made a big girl want to scream im worth it,1375833600
B0095JX7F2,5,must say read alot favorite author omg never read book enjoy much one thick girl actually read book n't involve skinny girl truly give joy wait continue anna chase 's story bc one time fave keep awesome work jasinda next,amazing!!,1404000000
B0095JX7F2,5,one quick hot sexy read could put finish immediately purchase nd installment enjoy author make heroine real common issue many woman face problem story end way soon need know happen,Loved It!,1357689600
B0095JX7F2,5,oh lord heaven never think 'd read series like blush shame aside finish first book like half hour think suck right first paragraph fast paced attention holder love 've get little extra carry around worry inner goddess know kind fun abound intend continue series check,Review of Big Girls do it Better,1365897600
B0095JX7F2,5,big girl appreciate character embrace feeling see size n't matter,Yummy,1357689600
B0095JX7F2,3,big girl love book 's quick read erotic real,Cute,1370908800
B0095JX7F2,2,could interest idea woman view overweight would want cheer size female character snag hunk unfortunately impossible cheer anna suppose believe plus size woman confident enough stage j mini leopard print outfit take lot chutzpah big girl meet chase immediately smite would indicate appreciates body instead anna own moment spite insecurity get female continue make disparage comment sex big break gawk would deliberately make comment suppose best sexual experience life little character development anything make either character sympathetic clearly series connect story write awkward many inconsistency restaurant meet anna less drunk normal arrives tell drunk hardly read menu meet chase bump doorway go restaurant chase sit order water huh anyone know ever ordered water restaurant say want sit lonely sit okay bump doorway odd scene restaurant back park area passenger door open suddenly chase give deep kiss must world long tongue able outside car tell continue back almost run one night sex expect believe morning chase big break come new york know ever back invite anna along meeting twice good luck m wilder future write endeavor nothing would make read next part story two star free,Big Girl is a Disappointment,1375228800
