asin,overall,reviewText,summary,unixReviewTime
B00BSX4U04,5,since begin get little lose far bit good end many twist turn omg interest recommend series,More wolf,1369094400
B00BSX4U04,3,thank nicky charles great series enjoy date writing great character believable interaction sexy story suspenseful stop reading particular novel perhaps reason mistakenly think damien 's book although feature isnt think disappointed realisation secondly feel fae storyline hasnt add world plot device allow widen world story give breadth series however felt slightly force didnt interest enough get really look hot intense werewolf something akin rachel vincent 's pride series book didnt like previous one read author hence star although admit read book,I didnt finish the book but it didnt grab me like the others did!,1365984000
B00BSX4U04,5,great book gon na recommend cousin share love read supernatural nicky charles great spin lycan live undetected love read author 's different view supernatural 's live one great,Great,1367539200
B00BSX4U04,5,story great much happen fastreading excite hard put aside length time,Not really sure that the title fits,1382918400
B00BSX4U04,4,guess series best book keep guess usually figure plot pretty fast book keep get plot wrong head like part n't like main character run life wolf think go chase kill instead get back car even though flat tire run thru wood mean come really wish author would continue make blood connection damian 's deceased wife main character eve nice twist author start explore end never mention however series definite must read like paranormal romance,Great book,1393545600
B00BSX4U04,5,sure read book order write understand series well enjoy character,Read last,1380499200
B00BSX4U04,5,expect book good typical tale werewolf 's great character study individual part werewolf society live like nicky charles stay basic concept 's delf human side conflict community humans power prejudice story love honor story series tell time read one series discover volume best term character definition mystery story line nicky brings everything together end kindle book free quite inexpensive nicky charles ask donation humane society animal rescue choice payment wherewithal find quite gracious classy privilege read law lycans series along prequels sequel privilege donate good cause like supernatural 'll love series,Interesting take on Lycanthropy - Excellent series!!,1369612800
B00BSX4U04,5,love one since read order new character talk next book make enlighten,Betrayed,1369872000
B00BSX4U04,4,read last glad set part two prequels time frame book end end mating series either place decide read good whole series fun enjoyable,Enjoyable,1366502400
B00BSX4U04,5,must say n't expect fall head heel series exactly find alternately laugh silliness worry peril character entire series love fact nicky charles love write request donation make animal charity aspire author nicky charles inspiration author human say thank,In love with the wolves...,1368748800
B00BSX4U04,4,keep writning nicky love story ever look book often look author good book,Betrayed,1377734400
B00BSX4U04,5,nicky charles exceptional writer within field 've read date like entertain enthral educate stimulate basically hook love book others series,Loved it,1373846400
B00BSX4U04,5,really enjoy book well previous lycan law book 'll watch publish,Betrayed: Days of the Rogue,1365552000
B00BSX4U04,5,start book open mind free free always fantastic oh gosh treat writer take journey fill excitement heady love turmoil sheer elation never end chapter chapter fantastic awesomeness hiccup minimal really wished writer would link book etc reader know without doubt order read series disappoint book happy reading,I still can not beleive the whole series was FREE,1380412800
B00BSX4U04,5,book well write kept attention like book author series 've read great story,Great,1369008000
B00BSX4U04,5,get entire series since free big fan supernatural book nicky charles change mind give try,EXCELLENT,1397088000
B00BSX4U04,5,love development story bring damien 's story feeling one main character like way writer connect character together book,Great book,1379548800
B00BSX4U04,5,really love book love story line build n't short long,Great,1375488000
B00BSX4U04,5,start read series bond second installment start book twist turn throughout great page turner seem like everyone something hide love,Another success!,1370822400
B00BSX4U04,5,nc create world werewolf lycans interesting excite exoctic addictive book action fill keep guess go happen go character interest depth damien lovely damage revenge seek hero make want help fix rafe beautiful quiet strong hero doctor yummy make want eve beautiful curious smart strong deserve men want hero kind woman woman emulate ca n't believe nc produce book free would gladly pay read book write interest believable real book long enough none character development short change story time progress naturally rather rush last page book tend thank nc write please continue hope see another book series soon damien,Read & Read Again!!!,1366588800
B00BSX4U04,5,absolutely love series author know keep reader toe give love drama mystery,Loved it!!!!,1366156800
B00BSX4U04,5,everything hop would afraid may addict love way character revolve around pull story together make one excited next installment still think sex much graffic sorry y'all,Each gets better,1389830400
B00BSX4U04,5,great write series fantastic never put book follow series terrifically connect character together book book,GREAT AUTHOR,1378252800
B00BSX4U04,5,another one favorite author nicky charles write great book although often long story still n't want put book usually read day,Loved the werewolf stories by Nicky Charles,1371340800
B00BSX4U04,5,' get enough book love book relate read book order publication character become real look forward book nicky charles,Betrayed: Days of the Rogue,1367193600
B00BSX4U04,5,character seem like real people really enjoy read book series imagine day cabin excite see happens next book,Awesome,1382486400
B00BSX4U04,5,consistent leave want character normal people want dreams everyone else except hide paranormal ability,Fabulous,1365811200
B00BSX4U04,5,good book heart want find love like beth wish survive glad chance awesome story,Oh yeah,1399248000
B00BSX4U04,5,great book free interesting love write fast pace anything lady write really great see big thing,Great book!,1401235200
B00BSX4U04,4,actually enjoy series must admit free n't think would recommend friend family,enjoy,1370217600
B00BSX4U04,5,ca n't believe book free great writer donate animal shelter request end book highly recommend series like werewolf story series run together well,Love Nicky Charles,1375747200
B00BSX4U04,5,want put book nicky charles superb writer look forward creation,Great in every way,1369785600
B00BSX4U04,5,enjoy reading damien 's story end leave open come damien 's story wait get since read entire lycan law series book tell story sometimes tie story together lead another story book difficult put read entire series less week great read sometimes different point view hard follow book make book interest try figure turn book would take next would highly recommend book well rest series anyone,Hooked and waiting,1377216000
B00BSX4U04,5,enjoy book much hope next one tell damien story read fast romantic juicy everything look find stay late night finish discover author anxiously look book recommend book anyone like little action heart stop romance,Easily one of my favorites,1367366400
B00BSX4U04,4,like paranormal romance try series werewolf story good story line read whole series,Good story,1375660800
B00BSX4U04,5,read series favorite hope see rafe eve future see author great job drop charachters future book least check see book nicely write always captivate,This is my favorite so far!,1369958400
B00BSX4U04,5,read book series read quite bit different kind story first see whole series free figure n't good normally first series free get u hook well write lot romance suspends love author ca n't wait read,love this series,1366243200
B00BSX4U04,5,read lycan series love excellent writer depth passionate character feel pain happiness passion book element surprise keep read well night figure character agenda,Well written,1366416000
B00BSX4U04,5,say book well write never felt story line really make feel laugh cried turkey amazing ca n't help wonder go happen damien read happen go hard know far one read 's hop hear another book feature thanks,What's next?,1377993600
B00BSX4U04,5,love nicky charles book great character story line perfect read book many time would recommend anything author,This author really knows how to write a great sexy alpha book.,1390348800
B00BSX4U04,5,love damien glad able overcome deamons book 'm also hop maybe revisit old friend since kane mention hint hint another excellent well write book nicky charles,Love Damien!,1366761600
B00BSX4U04,5,love series nice plot action sexy without explicit bad way look book future,great book,1367280000
B00BSX4U04,5,'m read book chronological order far good honestly say series heather killough walden 's big bad wolf series much action passion mystery betrayal love love fact author n't make everything revolve around sex steamy scene also lot feeling involve say love eve 's rafe connection ca n't wait read mat,Wow!!!!,1369180800
B00BSX4U04,4,interest story definitely different expect enough romance keep excited turn page enough mystery wonder plot go give surprise towards end look forward read rest book awesome free,Betrayed: Days of the Rogue,1370822400
