asin,overall,reviewText,summary,unixReviewTime
B00BT0J8ZS,5,really good book well write easy read make laugh make cry well worth read series book two happy reading,Could not put it down,1363910400
B00BT0J8ZS,5,start book night last good finish last night like watch action movie sure end nothing like typical end start next book asap,Couldn't put it down,1368576000
B00BT0J8ZS,4,story really good extreamly annoy book read st opinion nd author opinion go date book write read rd n't know read st nd u start reading say 's prequel mating u n't know till u start read begin book historical note think read first book story good except many instance either main character go tell something important always get cut also author chastise character want kill evil person want kill torture love one early book typically guy say seriously hurt kill person hurt love one later book n't anything unless provoke author explain detail right hurt kill someone like try justify u kill already,Getting better,1393545600
B00BT0J8ZS,5,good book location yet never bore wish romance idea werewolf could stay away mat year didnt sit well great story relized villian obvious,Great book ... Would have gladly paid for it,1364688000
B00BT0J8ZS,5,book answer many question give good background place series perfect book first think interest,WOW!,1380499200
B00BT0J8ZS,5,excellent series love start prequel right sequel well do nicky charles thank,See my review of Betrayed,1369612800
B00BT0J8ZS,5,brandi day away graduate lycan equivalent college find volunteered demonstration basic self defense even though receive mercy pas self defense class instructor felt tried best least ice cake experience crush reno instructor since first notice campus mortify look like fool brandi 's roommate offer sacrifice position think perfect opportunity brandi meet reno idea right reno enforcer job enforce lycan law brandi become disaster control officer job clean enforcer make sure human remain unaware lycan neighbor job ensure reno 's brandi 's life intersect often natural animosity two career year electrical connection two tension could cut knife reason want get relationship try ignore spark fly whenever throw together lot well expect really think low expectation download mat first book series well year ago goodreads never get around read saw prequel available free select monthly pick quickly snatch well rest book series free enthral plot n't really recall edit error wonderfully twisty story really recommend book within law lycans series available free ebooks amazon n't usually stay free long may want see indeed still free statement end book book remain free like donate approximate cost book near animal homeless shelter help make life well great see writer obviously write sheer pleasure hop turn quick buck,Very Enjoyable,1368576000
B00BT0J8ZS,4,prequel book give series back story start enjoy book whole series read first go mat keep find lastly betray think best way read series book bond travel many year end cover time frame put end close end betray spot none book need others full book since story character good make want read inhale,Series Starter,1366502400
B00BT0J8ZS,4,ca n't brag enough nicky charles many good author knbow give book away yeha nicky,Bonded,1377734400
B00BT0J8ZS,5,recently discover author enjoy read book book good story complete tell character three dimensional make real,Great Read !!,1395360000
B00BT0J8ZS,5,great book thoroughly enjoy read kept interested throughout entire book ask,Great,1368921600
B00BT0J8ZS,5,book good read day could put never really fan werewolf story give try surprise,Page Turner,1392940800
B00BT0J8ZS,2,read nicky charles book like mushy dumb stander,bonded,1373155200
B00BT0J8ZS,5,great book really enjoyed character brandy reno first time read book lycans really enjoy,Great book,1379548800
B00BT0J8ZS,3,liked personality main character certain extent plot twist keep read however much much predictable especially romance department long drag poor 'm n't deserve loved martyrdom go year without tell problem pretty stupid understandable base character develop story action suspense fairly interesting couple predictable development pull experience people seem dig sex scene sort silly seem formula certain amount explicit sex need include somewhere novels people really think sex soul mate forge woman 's version playboy,Likable personalities but too predictable,1365206400
B00BT0J8ZS,4,enjoy story time get frustrated brandi dilemma however last chapter make,Good read,1366156800
B00BT0J8ZS,5,'m student teach early childhood education start book two week end semester would work homework read awesome book,Awesome,1367366400
B00BT0J8ZS,5,love book great love story 's get great build suspense one,Loved it,1375488000
B00BT0J8ZS,5,hesitant read book first think another twilight knock pleasantly surprise complete opposite since first page find try speed read skip ahead see would happen next suspense almost much great story line strong foundation ca n't wait continue series kudos author,Suspenseful with a little bit of sexy.....,1369958400
B00BT0J8ZS,4,'m big writing review reason 'm reader writer good read bit long great long read one ca n't beat free stick like one much book series fall love reno brandi,Great read!,1368144000
B00BT0J8ZS,5,awesome love character read one series start today plan watch book nicky charles great author,The mating series,1382400000
