asin,overall,reviewText,summary,unixReviewTime
B00CCRTFSC,4,heiress elizabeth deville outside money family amass sale deville water deplete mother live two friend finish grad school elizabeth get life romance prospect horizon save secret teenage crush know never hunter west sexy poker player heir west bourbon live life full without regret hunter spends time escort porn star high class brothel run best friend recently find bored scene accident occur elizabeth 's best friend cross struggle find money help care brilliant idea come raise money sell virginity high bidder erotic thriller encompass great element pin love lie mystery sex suspense vengeful porn star edge seat fascinate page turner,4.5 Sighs for Selling Scarlett,1401926400
B00CCRTFSC,1,really n't know reader read one boring story ever read usually read book one two sitting try read day still ca n't get boring put book wish list since great review saw cent snag man n't even worth cent,was I missing something?,1367884800
B00CCRTFSC,5,book phenomenal read one sit could put love story much 's different story breath fresh air old story 'm used reading ca n't wait read amaze well developed character absolutely adore elizabeth ca n't imagine friend willing sacrifice something important sacred beautiful thing god love hunter yum hurt love book totally make day thank m james edit book also well do read cross,I AM STILL ON THE EDGE OF MY SEAT!,1377475200
B00CCRTFSC,5,' receive book author return honest review ' must start say wow absolutely love book amaze storyline n't even ounce sci fi paranormality fantasy anywhere well maybe little fantasy vamp wolves fairy unicorns heeheehee 'selling scarlett ' definitely well write story well developed character twist turn situation head reel breath panting page turner stay late read could n't keep eye open long may everyone due language nc situation however thing n't bother would definitely recommend book ca n't wait sequel 'chasing cross ' available conclusion well do ella james ac wright waar,"Thrills, Chills and so much more....",1366329600
B00CCRTFSC,5,wow ride story take brothel secret crush blackmail porno escort sex slave murder book begin feel libby ' whirlwind emotion hunter dreamt since never know obstacle would go libby emotional life mom always rehab father another family libby two friend help everything great book keep guess omg ca n't wait next book ella james cause great talent,Napa Hotness!!!,1366588800
B00CCRTFSC,4,sell scarlettromantic suspense ella jam new author read book recomendation free amazon didnt hold great hope prove wrong lot occasion free book one havent read mystery suspense base story long time pick bit different initially take bit get make point ensure didnt skip check segment book writen first person two different point view two main character elizabeth de ville hunter west tell story along dialogue lot character inner thought tell lot story twist turn aplenty initially seem like lot story go 's relevent hunter secretive past whereas elizabeth 's past know u start mother alcoholic drug addict rehab libby 's whole life father leave new family barely tolerate either he pig wife bitch hunter 's mom dead father mr big secret secret hunter feels need take responsibility secret basis story moment fell head heel hunter west first glimps real hunter far book lt kiss check start back kitchen one v card say make check mark finger claim lt hunter unobtainable male idealize never get know lt lt know hunter like know great story way 's told hunter 's elizabeth 's point 's view make interest love long time admire affar hunter libby finally opportunity make something live together really look forward read cross 's book,"fast paced, really good easy reading",1384041600
B00CCRTFSC,5,really liked book full mystery suspense romance say time alot follow keep straight alot player involve time frame start book get little confuse everything sort mind quite storyline love libby elizabeth lizzy scarlett hunter torture bad boy yummy like twist turn story like part involve hunter priscilla could wrap mind around could get away much every scene hunter libby together wonderful chemistry fantastic author make feel love soft quiet time together feel sexual carnage bed together touch even kiss couple hot hot hot enjoy reading time scarlett spent ranch get know girl feel though storyline scarlett 's father finish either suri 's story would like book focused libby hunter together public enjoy little end seem bit rushed would like savor hea ca n't wait read tame cross hope get read least little hunter libby,Packed full of action and romance,1384473600
B00CCRTFSC,5,absolutely love book fun adventure wonderful character lot happen right till end well write great ride read escape mundane world husband kid book certainly premise virgin sell virginity high bidder happen think problem reader prostitution portray book character spend time auction bunny ranch hoar house train honestly tastefully do maybe people n't like prostitute likable n't fit stereotype real life dose think part realistic woman earn living like every one else author great job read hell lot love book would recommend anyone honestly favor buy,Refreshing Read,1371168000
B00CCRTFSC,4,book review originally write blog thing inbetween alicrean com allow wording may refer amazon site week recommendation romantic suspense ella james call sell scarlett find book amazon search free amazon book first new love inc series seedy underworld pleasure brothel nevada desert caters affluently jade infamously bore hunter west unrepentant famous bad boy poker player heir family own west bourbon empire tire never end party socialites try hards come life barely register interest coming going action much less encounter day still hard time turn longtime friend summons brothel love inc entertain porn star priscilla heat marchant radcliffe long desire lead horribly disturb relationship priscilla hunter become increasingly complicate unhealthy throughout book begin hunter try stick close priscilla solve riddle miss hour night spend company devolve twisted physical power exchange question alarm response deviant proclivity enter elizabeth deville long since tender teen catch hunter 's eye heiress deville water empire juxtaposition live turmoil father pretty much hold family money tight fist mother pretty much big black hole screw elizabeth conflict situation difficult relationship often plague fair share guilt elizabeth seek find way care friend cross becomes clear family wo n't desire near impossible light fact live charity best friend suri face nothing offer collateral acquire loan elizabeth turn desperate mean sell innocence becomes aware shady underbelly world sex market v card worth thing might able put traditional mean fateful day star align hunter 's playmate evening go miss elizabeth lizzy libby encounter hunter fantasize forever cross terrible accident leave coma main plot take real story begin twisty turvy braid interwoven story begin shape well put together mystery leave battle fairly consistent wtf throughout majority book part n't feel ever get clarification one part cross hospital lizzy arrive another visitor nurse tell someone name sari never sure lizzy 's friend suri miss sarabelle also never explain hunter tight relationship lovelace maybe clarify lovelace 's story one felt whole lot like loose string overall really enjoy novel never read ella james book attract idea elizabeth sell virginity march 's brothel n't go much review even though title book suggest auction purity focus novel really honestly important many thing take place read love inc book really interested reading read people brothel cross hero second book tame cross release august really n't like fair rub wrong 'd like see ella james go character nice see develops new suspenseful situation,Selling Scarlett,1381363200
B00CCRTFSC,4,first start read story n't grab attention right away kept reading could n't stop really end enjoy story connection hunter libby look forward hear suri 's story,Not bad at all,1386720000
B00CCRTFSC,5,sell scarlett really good book love history excite read keep want know happen next,Selling scarlett,1381104000
