asin,overall,reviewText,summary,unixReviewTime
B00EYMXM2I,4,time book end trest get people plot end fair guess sell book want hear pregnancy e result see get book really enjoy start read fast time time read beci,Need to know,1398816000
B00EYMXM2I,5,love book make u go emotion especially entertain entertain astrid fun woman make best insane situation reader get tag along crazy ride,Fun,1395273600
B00EYMXM2I,4,love book funny clever mostly light hearted great start series intend get would say complaint end felt like drag little order meet word count felt almost repetitious first real smack battle still good turn read next book series,Great new series...,1380931200
B00EYMXM2I,5,okay read author base recommendation another author love story line author incredible voice giggle loud n't want give away anything like paranormal funny snarky read one,Laugh out loud!,1381276800
B00EYMXM2I,2,half way book jump amazon read review get inkling somewhat ridiculous story go whether stick read one review story continue next book arrrr hate 's 'm do see others find amuse think maybe tacky good description,You've got to be kidding me!,1396569600
B00EYMXM2I,4,could stop laugh read book crazy character prada line tiny ceiling creature thing keep chuckle liked laughing lot guardian angel may favorite character female lead deal become vampire still laugh vampyres wear prada n't like vampire spell vampyres book female lead 's roommate underwhelming predictable n't look much way romance love one 're destine mate compels u sex soon possible might well also say love kind romance like book enough might read future 's damn funny like paranormal 're cool deal lackluster romance sub plot definitely worth time,Still laughing,1400716800
B00EYMXM2I,5,awesome read fell love astrid immediately robyn peterman entertain throughout entire book already look forward fashionably dead,Amazing,1398729600
B00EYMXM2I,5,wonderfully entertain make smile spite mixed romp prada wear vampire life love mistake lore,5 Star all the way!,1394582400
B00EYMXM2I,5,n't good enough 'm speechless must leave go buy next book follow wo n't regret,awesome,1383004800
B00EYMXM2I,5,absolutely love book could n't put completely enthralled turn page page find would happen next die continuation next book find astrid thought mortal till decide need quit smoke hypnotize hypnotized woke vampire life change dramatically past month lose beloved nana raise vampire astrid funny care kind considerate strong attitude send angel fairy powerful train guide come love pam angel attitude also powerful strong funny love motherly kev extremely powerful fairy kind understand care fun try adapt vampire introduce numerous vampire join house vampire protect king family love prince vampire sexy strong stubborn powerful protective charming loyal care passionate fashionably dead great read fill romance fun action well hot steamy twist turn never saw come highly recommend book look forward read robyn peterman,Loved it!!!,1383004800
B00EYMXM2I,3,certain point funny entertain however begin set series ca n't imagine go back character none interest one dimensional funny moment certain kind logic hold together story degenerate traditional christianity morality detract lightheartedness,Some funny moments in a silly book,1400630400
B00EYMXM2I,5,way start series typical vampire story young woman turn without consent n't know want vampire thrown crazy new world foul mouth angel love call anything begin as except astrid name fashion challenge fairy bother wear clothes guide abnormal bff super excite friend one undead course hots dangerous vampire complicate thing issue little monster live ceiling love complexity story much go every bit connect important detail story character hilarious genuine wonderful chemistry book n't want put kept riveted major contributor insomnia due binge read end cliffhanger prepare give impulse buy sequel honestly ca n't wait get hand next installment,Ass-tronomical,1397779200
B00EYMXM2I,5,sooo kind book laugh entire time put whole new spin vampire write industry definitely read next book,hysterical!,1399593600
B00EYMXM2I,2,could get book kind thing probably someone else 's,fashiohably Dead,1401408000
B00EYMXM2I,5,say first start book almost stop discarded 'm glad stick really take laugh main character situation character really interest also first part slow really picked laugh think tear really good read think 'm go read next book ca n't leave hell,To funny...,1398384000
B00EYMXM2I,5,book enjoy much read book two day order next one thought good laugh cry read funny way keep want continue reading could believe enjoy vampire book read many want thought would like hope series,Wow What a book,1399420800
B00EYMXM2I,4,liked humor different story good read free enjoy astrids character,Different,1400457600
B00EYMXM2I,5,funny unique adventure lot twist turn story ca n't wait read next one fell love charter,fashionably dead,1399507200
B00EYMXM2I,5,book make laugh whole time like nothing 've read witty well think ca n't wait get second oneto finish story ca n't wait learn happens,It was like nothing I've read before,1404518400
B00EYMXM2I,5,non stop action fascinate character hilarious humor fight scene awesome imagery romance vampire demon angel complex family tree ever imagine could ask anything definitely look book author start read wo n't able stop end want,"Good enough to read again, and again.",1388620800
B00EYMXM2I,5,oh god n't laugh much book ca n't wait read next one thank much robyn,Omg,1387670400
B00EYMXM2I,5,one funny book laugh hard unlike vampire book might read great read absolutely loved laugh read story prada wear kentucky woman want loose weight quit smoke get turn vampire love twist turn laugh really great buy read love,Fashionably Dead!!!,1387324800
B00EYMXM2I,4,never think much vampire live interest life look forward finish series ca n't wait,Interesting concept......,1404864000
B00EYMXM2I,4,newly make vampire 's reluctant committ thing find self crazy situation feel need commit,Funny,1396569600
B00EYMXM2I,5,wow excite read really fun story really think go ridiculous ridiculousness plan funny well write endear probably exactly 'd behave suddenly throw paranormal world main character hilarious wtf 's everything story fun character entertain likable look deep depth romance n't definitely one mine type romance lead lady like um damn 're hot like whew smoke hot know say mnnn 're hot relationship build really story great fact simply really fun read really 'll laugh loud loud fact people look like 're nut definitely n't read 're ultra religious author really give character devil god sort paranormal creature fun personality run one thing consider read handle cliff hanger fyi end cliff portal hell personally n't like continuation selfish reason story entertain 'm one suckered get next installment happily,Wasn't expecting that!,1397347200
B00EYMXM2I,4,astrid become vampyre meet love life fairy angels demon side go wrong right,GOOD,1396828800
B00EYMXM2I,4,really cute book make smile quite bit similar betsy vampire queen series maryjanice davidson,Fun Light Read,1394668800
B00EYMXM2I,5,great read full goody wry humor hot sex wonderful character 'm look forward adventure author,Fun!,1395014400
B00EYMXM2I,5,book wonderful kept interested whole ride go one hell series,"Sarcastic,funny and vampires oh my!",1396310400
B00EYMXM2I,5,wow book truly aaaa everything want good read hottie hero whitty heroine laugh loud friend absolutely fell love,Scorcher!!! Sizzling!!! Hilarious!!,1396137600
B00EYMXM2I,5,story vamp demon fairies angel even horny little old man anyone ask book laugh minute love robyn 's sense humor say love baby demon rachel ross beyonce honest abe keep finger cross book two come fast,You rock Robyn!,1378512000
B00EYMXM2I,4,actually like book n't know hate vampire book n't great story line kinda dumb could n't help search second book guess good enough,Good enough I guess,1384128000
B00EYMXM2I,5,could n't put look forward read second book hot damned series write 's fine,"FANTASTIC,  FUNNY,  FASHIONABLE !!!",1395100800
