asin,overall,reviewText,summary,unixReviewTime
B00KF0URBM,5,long wait release end short time like time need need nowgreat write nice story linepls n't let u wait long rd,ANDREW,1400544000
B00KF0URBM,2,ok realize short novella come 's get ridiculous wait postponement figure since author push release wise get little story know would 've wait read rd release sorry extremely disappointed quite honestly annoyed reader fan author whitney haha seriously 's tip future reader wait purchase installment 've get ta say rd well soon plain ridiculous one disappointed fan,Seriously? That's all we get?,1400457600
B00KF0URBM,5,ca n't wait read third book 'm intrigue past 's rule,When is the third book coming!!!,1401408000
B00KF0URBM,5,hate book short ca n't get enough aubrey andrew hate wait story hate patience love book love story love aubrey andrew love andrew 's dirty mouth love even though 's young aubrey handle andrew love ca n't stay away love try stay away love together 're combustible love whitney g 's write love read series smile laugh cry span page,I love everything about this story.,1402272000
B00KF0URBM,4,love story hate cliff hanger wish n't wait long till next one,mmmmmm!,1401580800
B00KF0URBM,4,another short novella capture get go felt like short wgw fantastic writer find ultimate alpha andrew love read way feel like detach aubrey pull unexpected full sex way aubrey n't snarky fun book suppose character grows develop perhaps part journey take hopefully get sas back 's like st book leave cliffhanger wonder take next major piece info please give u large taste next novella,"Law, sex, dance and technicalities",1401235200
B00KF0URBM,5,well see end come laugh loud part others wish could slap andrew real psycho ex wife 'm involved story really wish lot long would amaze full length book 'm already wait rd book come read book hour 's great writer,Oh wow...,1400716800
B00KF0URBM,5,short story good like lot leaf hang n't like grrrrrhhh,love it love it,1401667200
B00KF0URBM,5,another great book whitney star awesome story character ca n't get enough wish long bad apart book end wish way longer ca n't wait next one,Love it!!!,1400457600
B00KF0URBM,4,wait practically month release book do time dont get wrong story line great wish little lengthy overall great book speed process book though,too short,1401148800
B00KF0URBM,5,ca n't wait rd book never saw last part come n't want give anything away buy book please hurry rd book,Hot Hot and Hot,1400457600
B00KF0URBM,4,love series start though wait episode painstaking 'll endure andrew truly prick hilarious throughout love wit smart as comment like aubrey stand spite age navet eacute 'm look forward next episode see come together finally discover lead andrew durham,getting better,1400457600
B00KF0URBM,4,love book want know 's happen next 's worth read love plot far like flash back ca n't wait next book,Very good,1401235200
B00KF0URBM,5,'s often author make second book good first one 's short leave want love way book write like say first book need cold shower,Amazing,1400457600
B00KF0URBM,5,great follow book give good understanding andrew way highly anticipate book seriously ca n't wait whitney g need write faster,Loved it,1401494400
B00KF0URBM,5,oh andrew hate leave u hang captivate must know rest story,"So, so good!",1401062400
B00KF0URBM,4,ok first foremost enjoy novella continuation highly addict vol along hundred maybe thousand reader wait patiently first tell write story delivers leave another cliff hanger despise next book n't boy big one expect little long take hr read entire thing interruption however like even though knew go cliffy buy fell deep audrey andrew 's story moment read vol volume introduces wife even though andrew make difficult learn well like get see audrey 's spunk several scene well ok main thing n't like n't care good man bed would put audrey demand illusive evasive negative sex great especially someone know n't dare deflect valid question ' want f ' answer question 'll proceed audrey backbone tell speak parent fellow classmate sometimes andrew n't seem like person read upfront decisive answer coy try back door question andrew threw little say would still read volume would still buy volume still recommend volume please m williams n't make u wait long recommend yesheat read yes,Reasonable Doubt Vol 2,1400457600
B00KF0URBM,5,book good heat pick right first one leave glad read book end holy cow july well come soon,Reasonable,1400630400
B00KF0URBM,5,well miss whitney g leave mouth hang open ca n't tell love would n't enough compliment write awesome take story brilliant love andrew reason sexy pig ever read almost felt bad book actually want give hug end 't wait part f l whitney great job,Andrew ....Andrew....Andrew............,1400457600
B00KF0URBM,5,whitney another star book sometimes hard like second third book series much like first book case still captivate story love andrew aubrey,Read this now!!,1405641600
B00KF0URBM,5,love part two much first book amaze stress right along aubrey love addition new character,More of the same!!,1401235200
B00KF0URBM,3,n't know insist waste penny buy page please wait whole book come,Torture,1402876800
B00KF0URBM,4,refer book another author enjoy completely ca n't wait third installment,VERY Hot read!,1400716800
B00KF0URBM,5,oh gosh love series bad thing say book long enough absolutely wait next book,Addicted!!,1400544000
B00KF0URBM,5,'m completely infatuate whitney 's write girl 've get major skill get book two little bit struggle wait wow worth wait book honestly ca n't wait eagerly continue stalk fb page update book suggest everyone read series soooooo hott good job whit f l,More then worth the wait,1400371200
B00KF0URBM,5,right midnight last night discover amazon finally post book like kid candy store devour need andrew aubrey fix holy hell good great loved pace although novella length skimp detail believability hotness love andrew 's verbosity aubrey hold together brilliantly portray felt like barrel road love every second stretch suddenly end find dangle cliff see come love,"10 stars, really",1400457600
B00KF0URBM,5,end abruptly 's fair want third book soon possible want find happen please please outstanding job,No no no no,1400716800
B00KF0URBM,5,woohoo sequel meet expectation sometimes finish book leave cliffhanger sequel live hope case reasonable doubt whitney garcia william do seamless job take right last book leave miss beat story smooth transition one story next love every moment read reasonable doubt learn andrew back story leave feel intrigue clamor third book series come reason talk sex book steamy last dancer love book slight glimpse dancer world let face dancer get little crazy rivalry form make great story line definitely saw glimpse reasonable doubt hop see third book really enjoy aubrey dance background dance story line read review might disappoint go depth story line however book read experience every single moment start devour within hour able put love reasonable doubt love reasonable doubt another great read,Amazing,1400457600
B00KF0URBM,5,need please need next book series stat book addictive,Holy Hot Tamales Batman,1400716800
B00KF0URBM,3,love book way short would love figure happen exactly end hint something still answer,way to short,1400457600
B00KF0URBM,5,thing love book like n't get half way start skim 's love,Can't wait for the next book.,1400716800
B00KF0URBM,3,book short love would better one long book least two many month wait next one really enjoyed story give shortness waitfor book,Again.....,1400457600
B00KF0URBM,5,love novella ca n't wait next installment aubrey amazing character strong character initially give credit 's little naive 's expect 's twenty two andrew alpha get want want give want make give character heart broken make act like jerk hopefully 'll find reason along whole story hopefully hea andrew aubrey next installment way thing start book knew thing would funky andrew 's ex come picture mess aubrey family emotional train wreck love hopefully 'll see drama next book well whitney g please n't make u wait long find,Andrew Hamilton????,1400630400
B00KF0URBM,5,wow 'm sure say 's jerk 's broken 's totally hot ca n't wait find background onhim find happen next,wow! my. my. my.,1400544000
B00KF0URBM,5,glad book wait finishing volume wish long story great job write must wait release volume ca n't wait love everything book unravels anxiously wait next one release read volume know wonderful book try decide read answer yes wait read want,What are you waiting for? READ IT!!!!,1401667200
B00KF0URBM,5,love intensity story two people meet chance stay away despite obstacle author intricately thrown u reader nice short book great escape,The ANGST to wait for RD3 is killing me!!!,1402185600
